Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Mississippi Valley St.,42.3,58.8,28.4,36.9,22.8,14.3,21.3,38,66.1,41.6,58.8,28.8,37.7,4.9,10.5,41.7,52.9,30.6,38.4,65.5,66.9,68.1
Gardner Webb,50.6,51.3,33.1,32.8,20.8,14.7,32,28.7,70.2,53.1,54.2,33,32.3,8.8,8.5,39.4,50.6,33.1,38,69.8,69.2,70.5
Prairie View A&M,47.9,58,31.9,39.1,16.2,18.4,23.2,38.9,71.4,48.6,57.6,31.5,35.7,8.3,9.5,47.5,52.2,33.7,32.7,71,69.1,69.8
Chattanooga,56.6,51.9,30.6,34.5,15.1,16.2,25.7,28.8,67.3,57.5,51.1,36.5,35.1,8.1,8.8,61,49.6,45.6,41,67.2,76.9,69.8
Georgia Southern,50.9,51.1,26,41.8,20.1,18.4,31.9,31.6,70,49.8,51.2,34.5,32.3,10.7,11.9,50.3,51.2,44.3,40.1,70.3,65.1,71.4
Northern Arizona,48.6,53.2,27,33.3,15.7,14.9,31.9,25.9,67.1,49.5,52.9,34.4,36.7,3.5,8.8,51.7,51.1,37.8,37,67.3,66.1,71.5
Nebraska,52.7,49.3,37.4,26.1,16.3,18.4,27.4,28,69,53.2,50.3,33.5,33.9,9,8.8,53.4,52.3,38.5,45.9,68.3,74.9,71.3
Yale,53.8,48.2,34.9,31.4,15.3,16.5,33.9,27.6,68.9,53.3,48.2,38.4,33.4,11.4,7.7,53.8,57.8,32.2,47.8,68.1,73.4,75.8
Tennessee Martin,48.6,53.7,33.1,33.4,19.1,18.3,33.8,31.1,66.8,48.5,52,31.1,35,8.4,14.4,51.1,57,47.3,48.2,67,69.4,70.6
Morehead St.,46.8,51.9,35.8,35.9,17.5,14.1,30,25.6,64.9,45.5,49.9,31.2,34.1,6.4,9.8,48.1,46,34.1,33.4,64.8,67.4,75.1
Tennessee,53.4,43.6,34.8,27.2,16.4,18.7,35.9,28.3,64.9,54,46.6,33.8,28.7,15.1,9.2,60.6,47,43.4,44.6,64.4,74.5,73.9
Texas St.,51.6,51.5,35.2,41.6,17.8,16.1,33.6,30.3,66.8,49.3,47.4,36.4,36.1,11.2,10,52.6,50.7,27.8,36.4,66.7,76,72
Jackson St.,47.7,51.7,34.8,30.2,18.8,16.6,28.4,30.9,70.1,47.1,50.3,32.6,34.1,9.6,9.1,49.7,55.9,33.7,41.7,69.2,73,70.7
Mississippi,53,49.2,34.9,36.5,12.7,20.9,25.6,28.5,69.2,51,51.8,34.8,32.5,11.8,10.9,53.2,58,40,43.5,68.5,73.8,70.8
Wyoming,50.1,50.6,30.2,38.9,19.5,16,30.3,28.4,65.2,49.5,51.7,34.4,33.3,8.2,9.8,48.2,47.1,40.7,37.3,65.3,65.2,71.7
Minnesota,50.5,49.3,32.3,32,16.5,17.1,30.5,30.1,63.8,50.7,49.2,32.2,34.5,12.9,10.1,61.3,60.4,35.9,34.3,63.4,66.4,74.3
Illinois,53.5,46.3,35.7,26.3,15.7,13,35.9,25.5,72.3,57.3,46.1,31.3,33.6,9.2,8.7,51.7,45.9,47.2,30.5,72,76.2,70.9
LIU,46.8,48.7,28.2,45.1,20.1,18.4,32.3,30.3,65.1,48.8,48.8,30.3,31.2,11,10.2,44.2,59.8,33.4,39.8,65.6,73,75.3
UTEP,50.7,52.8,36.2,38.3,17,21.6,26,33.4,68.9,47.7,54,34.6,33.4,8.9,9.7,51,57.7,36.2,41.2,69.2,71.9,71.5
Loyola Chicago,53.1,48.7,32.4,33.9,17.5,17.4,29.6,28.9,67.2,53.9,47.6,34,33.7,13.6,9.2,60.3,50.5,42.9,39.5,67.5,67.6,73.4
Texas,53.3,48.8,35.5,36.4,14.2,16.6,29,27.8,68.4,51.7,47.8,36.2,33.8,11.6,8.1,47.3,48.4,35.3,36.4,68,74.9,69.9
Maryland Eastern Shore,45.3,55.7,31.5,36.8,18.1,14.6,25,31.5,67.4,44.7,58.6,31.5,33.3,5.7,8.9,46.4,57.2,37.2,37.7,66.8,66.7,71.3
Western Illinois,50.5,53,26.7,30.1,17.7,13.9,27.2,32.5,65.1,46.7,50.2,37.3,35.1,9.2,7.5,39.2,47.6,37.2,34.8,65.1,69.2,73.8
Fairleigh Dickinson,48.7,51.7,33.2,33.4,17.2,17.1,26.2,34,68.6,49.7,53.3,32.2,30.3,6.9,9.4,53.6,50.4,41.5,35.6,70,71.5,76
Cornell,57.6,51.8,32.4,34.5,17.5,16,27.2,30.2,72.1,61.1,52.3,37.4,34.7,8.1,6.5,60.7,53.9,48.6,39.1,71.4,76.2,70
West Virginia,50.8,46,26.6,33.1,15.2,19.6,26.1,28.1,65.2,50.9,47.3,32.6,29.7,11.6,9.4,56.5,46.2,46.1,36.5,64.9,72,74
Oklahoma,55.2,50.4,39.6,33,17.2,18.4,26,29.4,69.9,54.1,55,36.5,30.3,6.8,10.5,51.6,47.1,41.6,42,69.2,79.5,72.8
Queens,51.6,51.9,36.3,32.6,19.1,16.6,31.3,30.4,69.4,52.9,52,35.1,34.9,13.5,9.9,59.7,45.9,43.6,37.1,69.1,68.9,70.5
Southern Illinois,50.7,50.9,33.7,32.7,18.5,15.5,31.9,29.3,68.1,51,51.5,35.1,36.1,8.5,8.3,52.3,53.7,33.6,39.8,68.6,67.8,70.9
San Diego St.,50.7,45.3,32.6,36.3,16.4,20,30.7,31.4,66.3,51.5,45.1,32.6,31.2,18.4,8.6,50.8,50.4,39.6,47.1,66.6,66.5,70.7
Nebraska Omaha,51.5,52.4,34.3,36.4,16.1,15.3,29.5,26.9,68.9,52.1,53.5,35.6,35.2,7.1,8.6,49.7,52.2,39.1,45,68.2,73,71.9
DePaul,53,51.4,28.9,31,18.1,16.1,27.3,28.6,67.8,53.3,51.3,34.4,34.7,9.3,10.2,59.5,54.1,46.2,35.4,68,70.5,70.2
UT Rio Grande Valley,52.1,52.4,23.1,29.9,18.9,16.6,29,32.6,70.8,55.4,52,31.8,33.4,6.8,7.8,57,51.3,49,35.1,71.2,71.1,74.4
Chicago St.,45,54.7,26.4,38.2,18.4,17.7,23.3,35,69,43.4,55.7,30.6,35.8,10.2,8.9,48.5,57.5,40.9,39.4,69.3,70.5,72.1
South Dakota,48.3,53.7,42.9,35.9,13.7,17.8,30.9,36.5,75,51.7,55.4,31.6,35.9,7.8,8.5,39.5,50.8,37.5,38.9,75.2,71.4,71.8
Montana St.,51.2,48.6,29.2,31.7,15.2,15.4,21.8,29.5,66.6,53.8,50.6,34.3,29.8,9,7.4,52,46,43,32,66.7,72.5,77.2
Oklahoma St.,49.2,52.3,41.3,37,18.5,20.7,30.9,28.8,71.9,48,53.1,33.1,35.3,8.9,11.5,51.4,55.5,34.7,42.6,72.3,71.7,70.8
Wagner,43.1,52,29.4,43.2,18.7,17.1,31,26.8,60.5,41.5,50.8,31.6,33.2,5.1,9.9,54.8,56,37.6,42.9,60.8,71.1,72.8
Bethune Cookman,47.8,50.4,33.5,31.8,18.5,15.9,27.2,30.3,69.6,48.4,49.8,31.9,31.3,9.7,10,52.9,53.2,33.9,36.9,69.6,69,72.5
Wofford,53.4,51.1,31.7,36.5,17.2,15,35.1,26.1,64.5,54.2,52,34.8,34.5,8.7,9.8,55,49.6,47.7,46,64.7,66.7,69.2
Cal Poly,55.5,54,25.6,30.6,19.9,18.2,28.3,33.3,74.7,56,54.3,36.3,34.4,5.4,10.2,52.9,50.3,51.1,39.9,75.2,76.9,76
Towson,48.4,51.1,29.3,31.6,15.2,17.3,34.6,27.5,64.1,46.7,50.7,33.4,34.1,9.7,8.1,41.4,46.2,37.2,38.8,64.3,68.2,70.6
Delaware St.,47.8,54.7,32.4,37.9,17.5,18.4,30.7,31.5,71.3,47.6,56.3,35.5,33.5,6.4,6.5,44.8,57.4,20.7,41.1,70.8,72.3,73.7
Norfolk St.,51.5,51.1,33,32.6,17,17.5,30.1,32.6,67.3,54.5,49.4,30.8,33.8,8.9,9.3,49,59.6,27.6,43.1,67,75.3,71.6
Vermont,48.7,48.7,31.7,30.3,17.3,16,25.5,27.6,63.9,49.5,48.3,32.3,33,12.4,11.6,49.6,45.1,43.5,38.6,63.3,72.1,72.7
Liberty,58.6,48,28.4,25,15.6,16.9,19,28.6,66.5,57.5,48.3,38.7,28.7,7.9,9.1,61.4,39.3,48.2,34.5,66.2,65.2,73.8
UNC Wilmington,51.7,50.7,37.2,32.3,16.6,17.5,34.6,29,66.4,53.7,50.7,32.8,34,10.4,9.5,55.1,49.3,36.4,43.5,66.2,75.5,67.9
Le Moyne,51.6,55.6,38.7,40.5,19.5,15.7,26.6,34.8,68.4,53.2,54.1,32.8,37,5.9,9,54.3,57.2,41.3,41.4,69.3,71.1,73.3
