Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Michigan St.,51.7,45,39.2,31.2,16.5,16.7,35.8,24.1,69,53,49.1,31.1,28,13.2,8,61.1,52.6,32.9,40.7,68.1,77.9,71.4
Cal St. Fullerton,44.3,54,36.9,33.2,20.2,15.1,26.5,29.3,68.9,46.1,55.9,27,34.9,6.1,9.4,41.5,56.1,34.1,45.8,68.8,73.8,75.2
Southeastern Louisiana,49.1,52.4,34.2,38,16.8,17.8,28.5,27.7,67.2,49.5,51.9,32.4,33.7,7.1,10,46.2,50.8,31.6,42.2,67.6,74.5,67.2
UC Riverside,49.7,51.3,27.4,32.6,15.3,14.6,32.5,29.4,68.1,48.8,51.7,33.5,35.3,6.2,8.7,48.7,52.5,42.3,39,67.7,76.9,75.1
Clemson,53.7,48.1,29.2,27,16.1,20.2,34.4,29.6,65.1,52.2,49.5,36.9,31.9,10,8.4,52,43.7,38.8,38,65.1,76.8,68.7
Colorado,51.2,49.3,37.2,35.9,20.4,16.5,30,27.4,68.1,51.8,49.1,32.1,34.1,11,9.9,58.4,50.5,37.3,39.4,68.4,75,70.2
Coastal Carolina,49.5,50.5,34.2,36.8,18.8,10.7,27.8,27.6,64.2,47.7,48.5,34.8,32.5,4.3,10.8,49.2,42.3,39.2,36.3,63.9,69.4,73.3
North Carolina A&T,46,52,32.1,30.2,15.9,15.2,26.3,31.5,69.1,46.3,52.4,30,33.3,8.2,9.4,44.4,57.4,36,38.5,70,68.7,75.9
Washington,51.1,51.6,35.4,35.8,17,17.2,27.7,28.3,68.5,50.1,53.3,34.4,35.1,10.1,11.5,50.8,47,35.7,35.4,68.4,69,75.2
Colorado St.,55.5,48.3,30.3,31.4,16.6,16.8,27.8,25.8,66.2,56.4,47.7,36.3,33.2,7.9,8.5,62.3,46.6,42.8,38,66.6,77.5,68.5
UMBC,55.2,55.2,32.1,30.3,16.1,16.9,19.5,34.2,71,53.8,54.2,38.4,35.8,5.9,8,50.4,46.7,38.4,34.4,71.2,70,69.5
Louisiana Monroe,46,55.3,29.9,24.8,17.3,15.8,27,31,68,43.1,55.8,32.5,34,6.9,9.8,51.6,58.3,33.9,45.1,68.5,71,70.9
The Citadel,46.1,54.7,32.9,34.2,20,15.6,26.9,32.6,65.5,49.5,56.3,29.2,34.7,5.7,11.6,52.2,54.5,45.2,42.7,65.3,62.3,74.2
Hofstra,48.9,47,25.2,37.7,17.5,16.4,25,27.8,64.3,48.1,42.6,33.2,33.9,11.7,9.2,55.6,52.8,42.3,40.4,64.3,70.8,69.8
UMass Lowell,55,52.3,33.3,27.6,18.1,14.7,26.4,32.5,69.3,56.3,50.5,34.2,35.6,10,9.4,52.6,44.7,34.6,34.7,69.4,77.2,69.8
South Alabama,51.4,50.4,32,25.1,14.8,20.5,27,30.3,64,53.6,46.9,31.7,33.1,11.3,10.7,56,69.7,45.6,59.3,63.8,70.9,69.5
Butler,54.6,49.4,37.9,23,15.9,11.9,26.7,27.7,67.6,52.4,51.5,37,31.8,6.6,10.1,54.5,48.5,41.6,37.1,68.3,74,75.4
SIU Edwardsville,48.9,48.8,31.6,33.3,17.3,16.5,30.7,30.3,67,47.9,46.3,33.1,33.1,11.7,8.3,51.8,48.4,36.6,38.7,66.7,67.3,70.4
Northern Colorado,55.5,51.3,31.6,35.2,16.5,15.4,26.3,23.9,68.9,57.9,51.9,37,35.4,5.7,9.4,52.4,37.6,37.5,34.3,69.4,72.6,74.7
Iowa,57,53.6,26.6,27.4,13.5,18.4,25,31.3,71.4,56.6,56.2,38,34.4,11,7.6,59.8,54.1,41,38.8,70.5,70.5,70.4
Florida A&M,50.5,53.5,34.2,38.2,19,14.3,26.1,31,68.4,50.8,51.5,33.6,34.2,8.3,10.4,52.4,48.3,46.6,36.5,67.9,71.4,69.6
TCU,47.9,49.9,34.4,29.3,17,19.7,33.3,28.6,67.1,47.8,53.4,30,31.6,10.7,9.2,49.9,63.5,34.7,42.5,67.2,64.7,73.8
Middle Tennessee,52.2,49,31.2,30.5,16.9,16.2,31.5,29.9,68.9,53.3,49.8,31.5,31.5,10.8,9.5,45.5,49.5,39.6,35.7,69,67.8,73.3
Oregon,53.4,47.6,34.2,26.7,16.2,18.1,31.1,28.4,68.8,53.1,49.7,34.4,31.7,9.9,9,52.9,50.5,38.3,37.8,68.6,75.7,71.8
Harvard,50.2,51.5,27,27.7,18.8,18.2,26.5,32.4,66.9,52.2,53.4,32,33.5,7.8,9.6,54.4,51.1,39.9,36.5,66.4,77.6,75.8
Florida,56.5,44.3,34.6,30.1,15.7,17.3,37.8,27.6,70.6,56.1,46.3,35.6,29.4,11.7,8.7,52.4,45.2,43.7,37.2,70.4,72.8,71.2
Saint Joseph's,51.7,47.2,32.9,26.4,16.4,16.6,31,28.2,68.4,52.8,45.3,33.5,33.4,13.8,9.8,56.2,50.8,46.5,32.9,68.8,74.6,75.1
Saint Mary's,50.3,45,32,25.7,15.2,17,40,25,63.5,51.2,46.2,32.2,31.5,10.6,7.4,56.2,54,33.2,31.8,62.3,69.5,74.5
Texas A&M Corpus Chris,53,51.3,36.3,41.5,16.9,17.3,29.8,28.8,67.5,53,48.4,34.7,35,10.1,11.6,51.4,53.2,29.2,36.7,68.2,62.2,67.4
Ohio St.,53.9,47.3,37.2,39,15.5,17.9,29.6,30.9,68.6,52.6,50.3,36.8,30.5,10,9.1,48.1,47.9,37.7,37.6,67.8,74.8,75.2
Florida St.,51.1,48.5,40.2,37.4,17.7,19.5,29.7,31,70.3,52.3,48.9,31.7,32,14.1,7.1,50,50.7,33.7,42.1,70.4,71.7,73
Seton Hall,45.7,54,34,42.3,19.7,22.8,31.9,31,64.7,43.9,54.5,31.2,36.6,11.9,10.7,50.7,59.2,30.5,44.4,65.1,66.3,72.6
North Carolina,55.5,48.6,36.3,30.5,15.2,16.2,29.8,26.2,70.7,54.5,49.1,35.6,33.5,9.6,10.5,51.7,47.7,37.2,38.1,71.3,74.1,74
Houston Christian,49.3,53.6,29.4,30,17.4,16.8,24.4,29.5,64.9,49.3,54.5,32.5,32.3,9.3,10,46.4,44,44,31.8,65.3,68.8,70.2
Lehigh,50.4,50.5,33.6,37.7,15.7,16.1,22.8,31,66.8,49.1,53,36.4,31.2,5.7,8.3,51.3,48.5,37.3,36.7,67.9,67.8,74.2
Navy,47.2,52.4,36.8,36.9,16.7,17.5,32.8,29.9,66.7,46.8,52.6,33.3,34.9,8,9.3,52.8,50.2,37.1,41.2,67.7,73.1,70.5
Saint Francis,52,52.3,24.1,29.5,18.6,15.7,25.7,31.6,66.6,52.6,53.3,33.8,32.2,7,9.2,50.7,50.6,42,43.1,67.9,72.5,74.1
Santa Clara,56,49,29.1,31.5,17.4,17.2,33.1,26.6,70.1,54.9,51.2,38.2,31.3,8.3,10.4,59.5,58,46.4,39.7,69.7,72.7,72.3
Loyola Marymount,50,47.8,29.3,29.9,15.6,15.8,23.5,30.8,68.4,50.6,49,33.1,31.8,10.4,6.6,50.9,51,40.4,36.6,67.8,72.2,75.7
Delaware,55.4,53.3,30.9,34.2,16.6,15.7,22.6,30.6,70.1,54.1,51.9,37.7,35.3,7,9.9,50.8,45.2,39.9,34.1,71,77.7,73.9
Miami OH,54.4,51.8,27.7,33.4,17.9,19,27.8,29.9,70.1,53.9,51.9,38.2,33.6,10.1,9.7,55.4,48,44,39.9,69.6,72.4,71.6
New Mexico,51.6,49.1,36.5,34.1,15.1,20.4,31.9,26,72.5,50.7,48.2,34,33.8,13.9,9.6,50.9,59.2,31.7,38.3,73.4,68.6,66.6
Coppin St.,43.4,55.8,33.2,34.5,20.2,19.6,24.5,32.5,68.9,44.2,56.3,29,36.3,5.4,13.2,50.4,57.8,32.1,38.8,68.7,67.8,71.9
Temple,50.4,51.4,44.3,35,16.3,15.6,31.1,31,69.3,48.2,51,35.8,33.3,9.2,10.2,40.8,54.1,31.3,36.4,69.5,73.4,70.7
Monmouth,47.4,51.3,37.6,37.2,16.7,17,29.7,34.9,67.3,44.2,50.7,35.2,33.8,12.7,9.6,49.6,55.2,34.6,40.7,67.9,74.2,73
Southern,46.9,51,35.5,40.7,17.7,19.9,31.5,29.7,69.8,47.4,48.2,31.2,33.8,11.9,12.7,49.2,60,33.3,39.4,69.1,65.5,69.7
Southern Miss,48.9,51.7,32.2,35.2,19.7,16.4,27.2,28.9,71,49.8,51.2,29.8,32.5,11.2,9.4,56.9,51.6,36.9,38.4,71.5,69.4,70.6
California,47.6,52.2,38.4,33.3,16.4,16.5,34.7,28.8,67.9,48.2,51.3,31.5,37.6,9.3,10.4,41.2,42.8,37.8,32.8,68.2,74.6,74.1
Georgia St.,51.1,52.2,31.7,26,17.9,13.2,31.4,30.7,69.5,49.8,51.8,34.4,33.2,7.9,8.6,44.7,53.8,33.3,41.5,69.8,68.6,72.2
Miami FL,52.7,57,27.1,28,16,15,28.6,29.9,67.6,55.1,55.9,31.3,39.7,9.6,8.1,47,56.2,38.5,39.9,68.2,76.4,74.4
Georgia,53.2,47,39.1,28.3,18.4,18.5,35.4,29.9,68.6,53.7,47.9,32.9,31.6,14.5,9.3,47.8,49.6,37,40.4,67.2,71.7,73.7
North Dakota,48.7,55,31.2,31.8,17.6,15.7,34.2,30.4,70.3,50.3,57.1,32.5,37.1,7.1,9.3,45.1,47.9,40,40.6,69.7,70.1,74.6
Princeton,51.3,52.2,27.3,34.7,15.9,17.9,26.5,25,68,50.1,53.5,35.3,35.5,6,12.7,57,51.2,48.7,40.8,67.4,70.7,75
Saint Louis,57.5,49.1,31,24,18.6,14.6,24.2,28.1,68.2,59.9,48.3,35.1,33.7,7.4,11.9,56.6,48.4,50.1,39.7,68.1,69.2,71.4
Arizona St.,52.7,49.7,37.6,32.3,16.8,16.6,25.7,27.8,70.2,50,51.7,35.6,32.9,12.1,11,51.1,54.1,42.6,40.3,69.3,72.6,75.4
Purdue Fort Wayne,54,53.4,28.6,29.6,13.7,19.1,21.1,31.4,70.3,54,56.2,37.1,32.6,7.4,10,47.6,49.8,45.6,40,70.3,75.1,74
Iona,47.5,52.5,29.9,39.6,21.2,22.1,39.2,32.3,68.6,47.5,53.9,31.8,32.6,9.4,10.9,56.4,60.6,34.7,44.5,69,68.5,74.3
Stetson,48.5,53.2,34.5,29.9,19.4,13.7,23.7,34.8,68.8,50.2,52.6,33.5,35.9,7.7,8.4,45.5,55.6,37.7,41.4,68.3,73.9,75.8
Marshall,50.6,50.2,34.2,40.9,17.7,17,32,28.4,68.9,51,49.7,32.3,32.2,14.5,8.7,53.3,40.3,39.6,32.8,69.4,69,70.7
Eastern Michigan,50.9,53.7,32.4,39.7,18.8,18.4,29.8,32.6,68.2,52.4,51.9,35,37.7,9.5,8.8,47.2,50.2,38.2,38.8,67.9,74.3,74.4
Niagara,52.5,54.6,32.1,32.7,18.5,16,23.4,27.6,64.8,51.8,51.8,34.9,36.7,6.5,9.3,51.7,55.7,42.8,38.4,65.6,74,78.6
Campbell,50,52.7,30.3,30.1,16.8,18.9,24.2,28.6,66.2,51.5,55.8,31.9,31.1,8.5,10.3,54,52.5,41.8,36.8,66.5,76.4,70.2
Mercer,48.2,50.7,29.8,33.6,17.2,16.7,28.3,29.1,71.5,49.8,49.7,31.8,34.7,8,9.6,46.6,55.3,40.1,46,71.7,65.3,71.8
Lindenwood,45.5,52.2,34.3,33.7,17.6,18.6,29.2,31.5,69.9,47.6,50,26.7,34.6,10,11.1,42.3,50.6,34.6,37.5,70.1,68.8,70.5
St. Bonaventure,50.5,49.9,29.9,24.7,15.7,18.7,27.9,26.8,65.2,51.5,50.8,31.3,32.7,11,9.5,42.9,57.7,35.2,47.1,65.2,72.9,72.8
Oregon St.,54.2,51.3,39.8,32.3,17.2,16.4,32.4,28.1,64.8,54.7,50.1,36.1,34.8,8.3,7.6,54.7,57.6,35.8,41.1,64.5,78.9,72.2
Lipscomb,53.9,49,32,23.7,15.2,16.6,23.7,27.3,67.4,56.5,50.5,36.4,31.2,7.5,10.4,55.1,40.1,47.6,37,66.9,79.6,67
Kennesaw St.,50.6,48.9,38.1,42.4,19.8,15.5,33.2,28.1,70.6,52.2,48.1,30.6,32.5,11.8,11.7,50.5,52.6,45.5,38.4,70.8,73.2,69.6
James Madison,52,52,30.9,32.4,16.4,15.8,31.3,28.6,65.2,50,49.6,34.3,35.5,8.4,8.1,45.8,41.4,45.2,35.1,65.7,76.4,71.8
Georgetown,50.5,49.1,27.3,32.1,17.4,19.4,32.3,29.6,68.4,51.5,49.2,32.3,33.6,10.7,9.4,52.7,55,38.1,39.6,69,70.4,76.2
USC Upstate,49.1,55.4,28.1,34.2,19.3,16.3,24.8,30.8,73.5,53.1,58.3,29.4,35.2,6.4,7.9,48.1,47.6,36.9,40.2,73.4,67.7,72.2
Morgan St.,47.5,53.3,31.9,35.8,16.6,15.8,31.2,37.2,71.7,49.5,51,31.6,36.8,11.1,8.8,43.7,54.1,21.7,34.3,71.1,72.5,68.8
New Hampshire,47.1,54.2,28.7,36.7,19.8,17.1,27.8,33.9,68.4,46.8,56.4,31.7,34.1,6.6,13.1,46.3,53.7,40.8,39.7,68.4,65.3,70.6
Iowa St.,55.4,48.4,39.1,30.2,16.8,22,32,27,69.4,55.5,47.8,35.8,33.6,10.1,8.9,53.4,55.6,36.8,40.9,69.2,75.3,75
Alcorn St.,45.9,54.8,28.9,29.8,19.1,17.2,31.3,32.9,66.3,45.4,54.6,31.8,34.1,8.5,10.6,43.5,60.9,29.6,45.3,65.5,72,72.1
Purdue,57.2,50.3,35.5,29.2,15.4,18.8,31.9,28.2,66.2,55.1,55.6,38.2,31.2,5.1,8.5,58.3,58,38.4,42.6,65.7,73.2,71.6
Drake,52.8,49.9,41.6,36.8,18.8,21.9,36.7,27.1,59.7,54.1,54.4,35.6,31.2,8.4,7.5,55.2,48.3,36.2,38.6,59.6,70,73.4
Marquette,52.9,48.9,28.1,31.1,13.8,21.8,31.2,30.4,68.1,54.7,51.3,32.6,31.8,10.7,8.8,49.5,59.9,46.4,39.4,68.3,72,73.2
Holy Cross,52.6,53.2,24.5,27.6,18.2,13.7,24.6,29.8,65.9,49.6,54.5,38.6,34.5,7.9,7.7,48.2,52.8,42.3,37.8,66.6,71.7,68.7
Houston,53.4,43.9,28.2,34.7,14.1,21.5,37.3,26.8,62.4,47.8,44.5,39.4,30.2,15.8,6.9,45.1,58.1,34.7,43.4,62.2,74,71.8
Hampton,47.6,52.1,31.3,44.1,16.5,18.6,33.3,28.3,65.9,46.9,53.3,32.4,34.2,8.6,8.5,42.2,53.3,36.7,35.7,66.2,70.8,71.8
Western Michigan,46.3,54.1,30.2,32.9,16.2,17.1,34.5,29.7,69.3,49.3,55,28.2,35.8,6.7,10.6,45.4,57,32.9,41,68.4,67.4,70.1
New Mexico St.,47.1,47.3,32.2,36.9,15.5,14.8,33.1,28.8,66.2,46.1,48.8,30.9,29.5,6.8,10.3,45.6,52.5,37,42.8,65.5,67.7,70.4
Ball St.,49.7,52,43.5,31.8,16.8,14.3,26.5,29.8,68.2,51,54.5,34.6,31.5,6.1,8.6,51.4,52.6,37.1,39.7,67.1,70.3,72.4
Milwaukee,50.2,51.1,37.3,32.6,19,18.3,38.2,26.4,69.4,53.1,52.2,31.9,33.6,9.3,10.3,49.5,51.5,31.5,38.6,69.4,68.2,73.2
Portland,50.1,54.3,31.8,23,18.3,13.4,24.4,29.8,69,49.8,53.3,33.7,37.8,7.4,9.1,61.4,57.1,43.6,40.9,69,77.9,74.1
Albany,48.9,55.2,32,37.9,16.7,19.5,32.8,30.3,68.4,50.2,55.8,31.7,35.6,6.5,12.3,45.7,50.4,36,34.9,68.3,72.4,74.7
Tarleton St.,46.5,53.2,38,43.5,23.3,21.6,27.5,32.5,67.2,45,52.9,32.2,33.9,11.7,12,46.3,60.8,25.6,42.2,66.3,72.9,73.5
San Francisco,52.9,47.3,35.3,37.6,17.1,17.7,29.4,27.9,69,54.1,52.2,34.1,27.9,9,7.9,52.2,47.6,43.7,35.5,68.6,71.7,70.9
Bucknell,52.9,50.3,39.4,38.5,19.4,17.4,27.6,30.3,67.5,54.4,49,35.3,34.7,9.2,9.3,52,50.6,41,40.6,68.2,66.4,68.6
Connecticut,55.3,47.1,33,43.1,17.2,15.8,35.8,27.6,64.6,57,45.8,34.8,35,17.5,8.5,63.5,44.2,42.7,34.2,64.5,79.1,72.9
Southern Indiana,48.2,53.1,29.1,35.5,17,16,27.3,32.1,68.1,45.4,50,35.2,36.7,7.1,8.2,43.6,46.6,33.5,36.5,67.7,73.9,68
Florida Gulf Coast,52,50.3,24,31.7,16.5,14.4,29.3,26.8,65.7,53.9,48.2,35.5,35.2,7.2,8.7,50.5,49.8,38.2,43.3,66,68.9,71.6
San Jose St.,50.5,51.5,30.2,27.4,16.9,16.2,27.8,33,66.7,48.6,54.2,35.3,31.9,7.5,9.3,50.5,52.3,40.8,35.5,67,74,69.4
Utah Valley,50.2,48.9,37.4,28.5,16.2,15.9,30.6,26.1,69,51.5,45.9,32.5,34,13.5,9.8,57.2,49.2,31.2,33.5,68.8,69,70.7
Missouri,56.5,50.5,44.5,33.9,15.5,20.3,33.1,30.6,69.8,56.3,51.2,36.7,33.6,7.3,10.5,49.7,49,41.4,37.8,69.1,73,75.3
Cincinnati,51.7,48.4,23.7,25.2,15,19.7,32.3,28.5,66.6,52.6,48.3,32.4,33,11.1,7.9,51,48.7,38.3,34.6,66.3,66.5,75.4
South Dakota St.,51.6,49.6,28.6,28.3,18.5,13,33.7,22.1,70,54.5,52.3,34.8,32.9,7.3,7.5,49,46,40,47.8,69.8,75.3,76.2
Boston University,49.2,52.2,32.5,35.5,20.5,17,33.3,26.1,63.7,50.7,51.2,33,36.1,8.2,9.6,48.8,52.8,41.9,40.2,64,66.9,74.6
Air Force,49.9,54.1,35,35.2,20.4,16,23.7,29.6,64.7,50.5,54.8,33.1,36.3,8.1,12.4,62.9,48.6,48.5,36.2,65.2,63.5,70
Bradley,55.5,46.5,31,34.2,17.3,15.8,27.4,29.4,66.1,54.6,47.2,39.7,32.3,11.7,7.2,53,51.6,42.3,42.9,66.5,74.8,72.8
Troy,50.5,48.7,36.6,30.2,20,20.7,36,31.1,66.9,53.6,46.5,30.1,32.8,12.5,10.6,55.9,52.1,45,38.3,66.9,72.4,71.9
Gonzaga,56.9,46.6,31.9,30,13.8,18.4,33.1,26.5,70.4,57.5,48.9,35.4,30.2,8.3,8.2,62.4,49.3,33.6,40.2,71,80.4,72.9
South Florida,49.7,49.9,35,34.8,16.9,18.6,26.9,32.1,69.8,51.1,49.6,31.6,33.3,9.5,10.3,54,55,37.6,37.5,69,71.8,73.3
Stonehill,50.6,52.5,32,35.5,17.9,15.3,26.1,31.1,65.7,49.4,50.1,35.4,34.9,6.9,12.6,60.4,40.9,44.5,33.3,65.9,72.1,73.3
Loyola MD,49.1,52.9,30.3,32.5,18.1,16.8,30,30.5,66.7,50.7,52.9,32.9,35.1,7.9,7,54.8,51.8,39.6,35.7,67.2,68.9,74.3
Belmont,54,52.3,25.7,25.9,16.4,17.6,28.9,32,70.3,52.9,54.6,38.1,35.1,9.1,9.9,60.1,55.5,44.6,43.4,71.3,71.3,72.3
Siena,49.1,52,40.4,35.5,17.1,17.5,29.1,30.4,67.6,49.5,51.8,32.8,34.3,13.3,9.7,48.3,49.7,39.9,34.2,67.7,74.3,75.1
Southern Utah,46.7,51.4,30.9,30.2,19.8,14.1,30,30.9,70,47.2,49.8,30.5,33.3,9,8.7,48.5,50.6,32.6,27.7,69.7,72.9,68.5
N.C. State,48.1,50.3,33.1,32.9,14.8,19,29.3,32.5,65.8,48.3,50.8,32.2,34.3,10.2,8.4,51.6,48.4,36.2,32.6,65.9,72.6,76.3
Pittsburgh,52.4,50.5,35.3,32.8,15.2,19,29.5,29.4,66.9,52.4,50.4,34.6,34.7,12.5,7.9,51.4,52.7,41.4,41.3,67.2,78.2,72.6
Furman,53.1,49.3,33.4,30.4,17.1,16.4,30.3,30.6,66.2,53.5,49.5,35.9,33.1,8.9,11.3,64.1,47.6,51.5,38.5,66.5,69.4,73.8
Massachusetts,46,50.2,36.2,37,16.2,17.5,34.6,32.3,70.7,46.6,49.7,28,33.2,13,8.9,48.2,57.6,32.2,39.9,71.1,67.2,72.2
Mount St. Mary's,51.3,49.5,32,28.6,20.6,15.2,30.4,27.7,67.5,50.3,49.4,34.5,31.8,7.9,9.6,60.3,52.8,41.1,45.2,68.2,73.3,73.6
Bryant,50.5,47.8,31.6,31.7,16.4,16.4,33.6,31.6,73.1,51.3,47.3,33,32.5,14.7,5.7,48.7,43.2,34.7,36.1,73.1,71.6,72
Syracuse,51.5,51.8,34.1,33.6,17.9,14.6,31.8,25.9,68.7,51.9,53.6,32.8,34.5,6.8,9,49.9,47.5,32.7,38.1,68.9,70.5,71.6
Jacksonville St.,51,49.5,31.6,26,16.1,13.7,31.4,27.1,65.5,49,47.2,34,34.6,9.9,8.7,43.7,52.7,36.9,43,65.4,74.3,70.2
McNeese St.,53.3,48.1,34.6,33.1,15.7,20.6,32.8,29.9,65.8,53.1,46.9,35.2,32.4,12,8.3,49.9,55.3,36.6,46.9,66.2,69.4,71.8
Quinnipiac,48.7,50.5,34,31.7,17.2,16.6,33.1,26.1,71.4,50.7,46.7,29.8,36.1,12.4,11.3,52.4,56.8,38,37.1,72.2,76.6,70.7
Rhode Island,53.4,50,42.7,31.4,18.2,16.1,28.7,28.6,71,53.3,50.6,34.6,31.5,8.7,10.9,51.4,51.9,37.7,39.7,71.1,69.3,72.9
Detroit Mercy,44.7,50.5,29.8,38.8,18.9,15.6,31.2,30.9,67.6,43.9,52.4,33.3,33.2,8,8.8,43.9,59.1,28.4,47,67.8,73.3,72
Sam Houston St.,52.6,53.8,34.9,32.2,18.1,17.2,30.9,33,68.1,46.9,52.3,38.3,36.2,8.2,8.5,49.4,52.4,38.6,41.2,68.5,72.9,72.3
East Tennessee St.,49.3,50.5,32.8,35.7,17,19,35.3,29.7,65.5,48.9,49.5,34.7,34.2,11,9.9,50.7,50.6,41.7,41.1,65.8,66.5,67.2
Duquesne,50.7,50.4,31.9,40.4,18.4,20.4,34.2,30.9,65.4,49.2,48.1,34,35.9,12.6,10.2,54.7,53.4,43.2,35.9,65.8,64.5,72.2
Virginia Tech,51,52,31.8,31.8,20.2,16.7,31.2,28.7,66.1,50.3,54.6,35,32.6,5.8,9.9,51.5,55,40.4,41.2,65.8,71.4,75.8
North Carolina Central,49.1,55.3,33.8,36.3,18,19.1,31.6,36.4,68.9,49.9,57.6,33.7,32.7,5.7,8.7,54.6,48.2,34,32.8,67.7,70.1,72.4
North Dakota St.,55.6,50.6,29.6,25.9,16.4,11.6,26.9,29.4,66.7,56.5,51.3,39.8,34.3,4.8,9.3,55.2,41.2,53.6,39.1,65.8,79,70.1
Northwestern St.,49.2,50.7,31.9,33.2,19.3,16.9,30.9,30.4,64.2,46.5,46.8,35.2,36.2,12.3,11.5,53.3,50.8,35.7,39.7,64.5,70,70.7
Fairfield,46.7,54.6,28.2,34.6,15.3,17.7,28.6,30.8,66.5,45.8,53.4,31.5,36,8.4,9.8,51,52.8,38.3,36.9,66.6,73.3,77.1
Arkansas,53.1,46.9,35.5,27.8,16.2,17.9,27.5,28.1,70.3,54.1,47.9,32.7,31.4,15,7.3,52.1,48.1,36.6,38.9,69.9,73.9,73
Cal St. Bakersfield,48.3,54.1,35.3,46,18.8,17.6,35.9,30.5,67.2,45.3,54.8,37.2,35.7,8.6,7.6,38.2,52.1,28.4,41.5,66.7,77.3,74.9
George Washington,50.7,49.9,40.8,26.7,18.6,19.6,31.9,33.7,67.2,53.2,49.4,31.3,31.8,8.6,13.8,55.5,52.6,42.2,38.7,67.9,69.5,73.1
UNC Asheville,50.9,52.5,31.9,34.7,15.3,17.5,29.2,33.1,70.1,52.4,53.8,34.2,35.2,11.5,5.4,45.6,50.3,35,38.9,68.6,72.2,70.3
Dayton,54.2,50.7,38.4,32.2,15.4,18.2,30.1,28.8,66.2,52.1,52.5,36.1,32.9,10.4,10.4,59.2,50.8,41,42.4,66.5,75.1,74.8
Stephen F. Austin,47,50.2,30.9,34.9,20.8,19.3,32.1,31.3,67.3,48.8,47.8,28.7,34.4,11.2,9.9,51.4,54.7,36.9,37.1,68,63,68.2
Arkansas St.,50.9,47,32.9,36.5,14.8,16.6,32.3,28.5,70.2,50.6,46.4,32.2,30.3,11.3,10.6,51.3,48.9,44.6,35.1,70.4,72.8,70.1
Army,49,52.8,27.9,29.8,15,15.9,27.2,31.4,67.6,51.4,54.8,31.2,34.8,6.1,8.9,50.5,53.7,41.7,42,68.4,68,70.4
Oakland,49.5,50.8,31.8,27,18.2,16,34.3,31.7,64.6,53.2,49.7,30.6,35.9,8.7,9.8,51.1,61.7,42.3,41,64.3,69.9,73.4
Southeast Missouri St.,52,49.1,28.2,42.9,15.1,18.2,23.4,28.6,69,51.1,48.8,34.5,30,9.2,7.8,48.2,42.2,36,31.6,69.6,71.8,72.5
Binghamton,50.6,50,35.4,34.7,19.4,12.8,26.9,29.1,66.4,50.6,51.1,35.4,31.8,8.2,11.9,51.7,46.4,36.2,40.3,66.3,70.1,72.4
George Mason,52,45.6,44.1,31.4,19.5,19.5,31.5,29.5,65.2,50.9,45,35.4,31,10.7,10,52.7,53.6,36.4,46.2,65.4,71.4,71.2
Old Dominion,44.7,52.1,29.8,34.6,17.8,15.8,34.7,30.9,66.2,45,51.2,28.3,34.1,9,10.2,43.6,49.2,35.8,35.3,66.7,71.7,69.5
Green Bay,50.3,54.4,36.8,35.6,17.5,14.5,18,31,69.1,52.2,54.1,32.9,37.3,5.4,13.5,60,54.8,46.2,39.4,69.8,78.5,68.8
UNC Greensboro,49.9,47.6,29.9,34.7,15.8,16.4,30.3,30.1,64.6,48,48.7,36.2,31,8.7,7.3,48.5,46,42.4,43.1,64.4,73.7,72.5
Little Rock,50.1,48.4,27.8,37.3,20.4,20.9,29.8,35.5,67.9,47.2,46.3,36.6,31.4,16.8,7.3,52.9,58.2,30.3,44.2,67.5,70.7,71.5
Austin Peay,47.4,52.9,31,38.3,15.6,17.8,25.6,31.5,66.9,47.1,52,34,37.9,7.5,13.4,49.5,51.3,40.2,35.9,66.7,71.3,73.1
Rutgers,51.2,52,37,29.9,15.2,17.9,31.3,31.5,69.5,51.3,52.9,32.9,35.1,10.2,8.4,47.7,51.5,36.3,37.7,69.4,71.8,69.6
Nicholls St.,48.5,49.3,33.1,37.6,13.9,15.9,28.6,29.1,68.3,45.6,49.9,35,30.1,10.2,12,42.8,49.6,36.8,37.6,68.8,68.6,71.1
Sacramento St.,46.5,54.5,29.2,38.2,20.3,17.4,28.2,29.2,65.7,49.1,55.2,31.2,36.6,9.4,10.6,53.3,58.5,44.9,46,66.1,68.2,71.7
William & Mary,54.3,54.2,35.5,35.9,18.5,17.8,25.4,29.2,71,55.8,54.4,34.5,34.8,4.8,11.5,62,51.4,51.5,41.6,72.1,72.8,72.2
Colgate,53.5,53,24.4,27.7,17.4,16.4,24.9,28.8,66.7,54.6,51.5,35.7,37.3,6.9,9.4,52.4,53.9,42.2,40,67.7,73.1,70.2
USC,55.3,51,36.6,33.8,17.4,18.7,28.5,29.4,69,54.8,53.4,36.5,33,8.7,9,56.5,57.9,34.8,38.7,69,74.1,75
Merrimack,49.3,47.6,26.8,33,14,22.5,21.1,37.9,64.7,49.3,47.2,33,31,10.6,8.7,49.7,59.9,42.9,36.3,65.2,72.3,71.8
UNLV,49.5,49,34.9,31.2,16,18,28.2,30.2,66,49.6,50.5,33.3,31.9,11.5,8.7,49.6,61.3,34.6,43.4,66.5,71.7,71.2
