Team,Opp.,W/L
Florida St.,Alcorn St.,W
Nevada,Louisiana Tech,W
Texas Tech,Lindenwood,W
Purdue,Evansville,W
NJIT,Fordham,W
Stanford,Portland St.,W
Texas,Duke,L
Robert Morris,Iowa,L
Duke,Texas,W
South Carolina,North Carolina A&T,W
Georgia Southern,East Carolina,L
Alcorn St.,Florida St.,L
East Carolina,Georgia Southern,W
Tennessee Martin,UNLV,W
UNLV,Tennessee Martin,L
Portland St.,Stanford,L
Arizona St.,Southern Utah,W
Kentucky,Nicholls St.,W
Wichita St.,UNC Asheville,W
Oklahoma St.,Oral Roberts,W
West Virginia,Mount St. Mary's,W
North Carolina A&T,South Carolina,L
San Diego St.,Long Beach St.,W
UNC Asheville,Wichita St.,L
Kansas St.,UNC Greensboro,W
Evansville,Purdue,L
Mount St. Mary's,West Virginia,L
Southern Utah,Arizona St.,L
Lindenwood,Texas Tech,L
UNC Greensboro,Kansas St.,L
Fordham,NJIT,L
Valparaiso,Eastern Illinois,W
Eastern Illinois,Valparaiso,L
Oral Roberts,Oklahoma St.,L
Louisiana Tech,Nevada,L
Oregon,Hawaii,W
Nicholls St.,Kentucky,L
Hawaii,Oregon,L
Long Beach St.,San Diego St.,L
LSU,Tarleton St.,W
Indiana,Alabama A&M,W
Creighton,South Dakota,W
Marquette,Southern,W
Temple,Delaware St.,W
Southern,Marquette,L
UC Davis,North Dakota St.,W
Butler,Southern Indiana,W
South Dakota,Creighton,L
La Salle,Coppin St.,W
Georgia,Maryland Eastern Sho,W
North Dakota St.,UC Davis,L
Rutgers,Rider,W
Mississippi St.,North Alabama,W
Delaware St.,Temple,L
USC Upstate,Fresno St.,W
North Alabama,Mississippi St.,L
Tarleton St.,LSU,L
New Mexico,East Texas A&M,W
Eastern Washington,Loyola Marymount,L
Loyola Marymount,Eastern Washington,W
Fresno St.,USC Upstate,L
Rider,Rutgers,L
Southern Indiana,Butler,L
Alabama A&M,Indiana,L
Coppin St.,La Salle,L
East Texas A&M,New Mexico,L
Maryland Eastern Sho,Georgia,L
Auburn,Merrimack,W
Miami FL,Bethune Cookman,W
Iowa St.,Grambling St.,W
Louisville,Jackson St.,W
North Texas,Northwestern St.,W
Texas A&M,Texas Southern,W
Northern Iowa,Cal St. Northridge,W
TCU,Saint Francis,W
Chicago St.,Saint Louis,L
Saint Louis,Chicago St.,W
Florida,North Florida,W
California,Wright St.,W
Denver,Washington,L
Campbell,West Virginia,L
Texas Southern,Texas A&M,L
Grambling St.,Iowa St.,L
Mercyhurst,Loyola Chicago,W
Ohio,Illinois St.,W
Robert Morris,Drake,W
Northwestern St.,North Texas,L
Washington,Denver,W
Jackson St.,Louisville,L
Nebraska Omaha,Abilene Christian,L
Wright St.,California,L
Drake,Robert Morris,L
IU Indy,LIU,L
West Virginia,Campbell,W
Xavier,Le Moyne,W
Abilene Christian,Nebraska Omaha,W
Alcorn St.,South Alabama,L
Le Moyne,Xavier,L
UC Riverside,North Dakota,W
North Florida,Florida,L
LIU,IU Indy,W
Bethune Cookman,Miami FL,L
SMU,Texas A&M Corpus Chr,W
Boston College,The Citadel,W
Portland,Arkansas Pine Bluff,W
Saint Francis,TCU,L
Illinois St.,Ohio,L
North Dakota,UC Riverside,L
South Alabama,Alcorn St.,W
Merrimack,Auburn,L
Cal St. Northridge,Northern Iowa,L
Loyola Chicago,Mercyhurst,L
Quinnipiac,Central Connecticut,W
Texas A&M Corpus Chr,SMU,L
Arkansas Pine Bluff,Portland,L
The Citadel,Boston College,L
Central Connecticut,Quinnipiac,L
Illinois,Florida Gulf Coast,W
Kentucky,Valparaiso,W
Liberty,Charleston,W
Youngstown St.,Grand Canyon,W
North Carolina,Kansas,W
Texas Tech,Sam Houston St.,W
Connecticut,UMass Lowell,W
Tulsa,Rhode Island,W
Yale,Navy,W
Kent St.,Cornell,W
Cornell,Kent St.,L
Sam Houston St.,Texas Tech,L
Wisconsin,Northern Illinois,W
Notre Dame,Detroit Mercy,W
N.C. State,UAB,W
Winthrop,George Mason,L
Oakland,Purdue,L
Davidson,Washington St.,W
Santa Clara,McNeese St.,W
Ohio St.,Purdue Fort Wayne,W
Arizona,Utah Tech,W
Florida St.,Alabama St.,W
Stephen F. Austin,Arkansas St.,W
Kansas,North Carolina,L
Buffalo,Green Bay,W
George Mason,Winthrop,W
Clemson,Gardner Webb,W
Utah Tech,Arizona,L
Charleston,Liberty,L
UMKC,Southern Illinois,L
Southern Illinois,UMKC,W
Southeast Missouri S,Missouri,L
Iona,Hofstra,W
Virginia,North Carolina Centr,W
Saint Mary's,Chattanooga,W
Murray St.,Mississippi Valley S,W
Oregon St.,Illinois Chicago,W
Northwestern,Boston University,W
Purdue,Oakland,W
Idaho St.,San Diego,W
UCLA,Pepperdine,W
Missouri,Southeast Missouri S,W
Utah St.,VCU,W
Green Bay,Buffalo,L
Grand Canyon,Youngstown St.,L
Bucknell,Mount St. Mary's,W
Chattanooga,Saint Mary's,L
Sacred Heart,Duquesne,L
Duquesne,Sacred Heart,W
Wagner,Seton Hall,L
Columbia,New Haven,W
North Carolina Centr,Virginia,L
Georgetown,Maryland,W
McNeese St.,Santa Clara,L
Cal Baptist,UC Irvine,W
Pepperdine,UCLA,L
Illinois Chicago,Oregon St.,L
Iowa,Western Illinois,W
Florida Gulf Coast,Illinois,L
Northern Illinois,Wisconsin,L
Mississippi,Louisiana Monroe,W
UAB,N.C. State,L
Western Illinois,Iowa,L
Pittsburgh,Longwood,W
Purdue Fort Wayne,Ohio St.,L
Rice,Oregon,L
Rhode Island,Tulsa,L
Charlotte,Tennessee Tech,W
VCU,Utah St.,L
Louisiana,Southeastern Louisia,W
Washington St.,Davidson,L
Samford,South Carolina St.,W
Gardner Webb,Clemson,L
South Carolina St.,Samford,L
Georgia St.,Cincinnati,L
Detroit Mercy,Notre Dame,L
Troy,Furman,W
Seton Hall,Wagner,W
DePaul,Stonehill,W
Northeastern,Colgate,W
Siena,Brown,W
San Diego,Idaho St.,L
Oregon,Rice,W
SIU Edwardsville,UTSA,W
Cincinnati,Georgia St.,W
VMI,Southern Indiana,W
Longwood,Pittsburgh,L
Arkansas St.,Stephen F. Austin,L
Navy,Yale,L
UC Irvine,Cal Baptist,L
Louisiana Monroe,Mississippi,L
Wake Forest,Morehead St.,W
Tennessee Tech,Charlotte,L
Hofstra,Iona,L
Boston University,Northwestern,L
Mount St. Mary's,Bucknell,L
Stonehill,DePaul,L
Alabama St.,Florida St.,L
Eastern Illinois,Nicholls St.,W
Colgate,Northeastern,L
UTSA,SIU Edwardsville,L
Valparaiso,Kentucky,L
Georgia Tech,Bryant,W
Maryland,Georgetown,L
Morehead St.,Wake Forest,L
Mississippi Valley S,Murray St.,L
Furman,Troy,L
Southeastern Louisia,Louisiana,L
Southern Indiana,VMI,L
Nicholls St.,Eastern Illinois,L
New Haven,Columbia,L
UMass Lowell,Connecticut,L
Brown,Siena,L
Bryant,Georgia Tech,L
Vanderbilt,UCF,W
Florida Atlantic,Charleston,W
Alabama,St. John's,W
Boise St.,Utah Valley,W
UCF,Vanderbilt,L
Tarleton St.,Texas A&M Corpus Chr,W
St. Bonaventure,Canisius,W
Eastern Washington,Colorado,L
UNLV,Chattanooga,W
Penn St.,New Haven,W
Tennessee,Northern Kentucky,W
Texas,Lafayette,W
UC Santa Barbara,San Jose St.,W
Villanova,Queens,W
Akron,Princeton,W
Minnesota,Alcorn St.,W
Colorado,Eastern Washington,W
Wichita St.,Prairie View A&M,W
George Washington,South Florida,W
Nebraska,FIU,W
BYU,Holy Cross,W
UT Rio Grande Valley,Southern Utah,W
Providence,Virginia Tech,L
Pacific,Nevada,L
Nevada,Pacific,W
Queens,Villanova,L
Loyola Marymount,Arkansas Pine Bluff,W
St. John's,Alabama,L
Stanford,Montana,W
Virginia Tech,Providence,W
UMBC,Dayton,L
San Jose St.,UC Santa Barbara,L
Gonzaga,Oklahoma,W
Charleston,Florida Atlantic,L
Dayton,UMBC,W
Elon,UNC Greensboro,W
Saint Peter's,Fairleigh Dickinson,W
South Florida,George Washington,L
Richmond,East Carolina,W
Duke,Western Carolina,W
St. Thomas,Army,W
Bradley,Central Michigan,W
Kansas St.,Bellarmine,W
Kennesaw St.,Florida A&M,W
Utah Valley,Boise St.,L
Texas St.,Tulane,L
Arkansas,Michigan St.,L
Fairleigh Dickinson,Saint Peter's,L
Marshall,Toledo,W
Wofford,Milwaukee,W
UNC Greensboro,Elon,L
Arkansas Pine Bluff,Loyola Marymount,L
Tulane,Texas St.,W
Georgia Southern,UNC Asheville,W
Chattanooga,UNLV,L
Army,St. Thomas,L
Bellarmine,Kansas St.,L
Canisius,St. Bonaventure,L
Butler,IU Indy,W
Fresno St.,Long Beach St.,W
Texas A&M Corpus Chr,Tarleton St.,L
UNC Asheville,Georgia Southern,L
Cal Poly,Seattle,W
La Salle,Monmouth,W
Michigan St.,Arkansas,W
Weber St.,Utah,L
New Mexico,UT Arlington,W
Oklahoma,Gonzaga,L
Syracuse,Delaware St.,W
Saint Joseph's,Drexel,W
UC San Diego,Houston Christian,W
Wyoming,Cal St. Fullerton,W
Drexel,Saint Joseph's,L
Memphis,San Francisco,W
Belmont,Tennessee St.,W
Presbyterian,East Tennessee St.,W
FIU,Nebraska,L
Southern Utah,UT Rio Grande Valley,L
Cal St. Fullerton,Wyoming,L
Norfolk St.,William & Mary,L
Houston,Towson,W
Utah,Weber St.,W
Toledo,Marshall,L
Montana,Stanford,L
Northern Kentucky,Tennessee,L
Massachusetts,Albany,W
Austin Peay,Air Force,W
IU Indy,Butler,L
Tennessee St.,Belmont,L
Stony Brook,Maine,W
East Carolina,Richmond,L
East Tennessee St.,Presbyterian,L
William & Mary,Norfolk St.,W
Princeton,Akron,L
San Francisco,Memphis,L
Lafayette,Texas,L
Long Beach St.,Fresno St.,L
Monmouth,La Salle,L
Prairie View A&M,Wichita St.,L
Houston Christian,UC San Diego,L
Milwaukee,Wofford,L
Fairfield,NJIT,W
Western Carolina,Duke,L
Niagara,Binghamton,W
Seattle,Cal Poly,L
Florida A&M,Kennesaw St.,L
Towson,Houston,L
Binghamton,Niagara,L
Albany,Massachusetts,L
Maine,Stony Brook,L
Central Michigan,Bradley,L
UT Arlington,New Mexico,L
Holy Cross,BYU,L
Alcorn St.,Minnesota,L
New Haven,Penn St.,L
Air Force,Austin Peay,L
NJIT,Fairfield,L
Delaware St.,Syracuse,L
Indiana,Marquette,W
Colorado St.,Nebraska Omaha,W
Georgia,Morehead St.,W
Liberty,Florida Atlantic,W
Mercer,Lipscomb,W
Oklahoma St.,Texas A&M,W
Hawaii,East Texas A&M,W
USC,Manhattan,W
Nebraska Omaha,Colorado St.,L
Denver,Montana St.,W
New Hampshire,Harvard,L
Cal St. Northridge,North Dakota,W
Grambling St.,Howard,W
Manhattan,USC,L
Baylor,Washington,W
Missouri,VMI,W
North Dakota,Cal St. Northridge,L
Southern Miss,South Carolina,L
Morehead St.,Georgia,L
Marquette,Indiana,L
American,Penn,W
Lipscomb,Mercer,L
Arizona St.,Utah Tech,W
San Diego St.,Idaho St.,W
James Madison,Coppin St.,W
South Carolina,Southern Miss,W
Vermont,Brown,W
Howard,Grambling St.,L
Harvard,New Hampshire,W
Bowling Green,Le Moyne,W
VMI,Missouri,L
Appalachian St.,North Carolina Centr,W
East Texas A&M,Hawaii,L
Idaho St.,San Diego St.,L
West Virginia,Lehigh,W
Campbell,Western Michigan,W
Montana St.,Denver,L
South Dakota St.,Northern Iowa,L
Brown,Vermont,L
Washington,Baylor,L
Penn,American,L
Western Michigan,Campbell,L
Utah Tech,Arizona St.,L
Loyola Chicago,North Texas,L
Marist,Dartmouth,W
Northern Iowa,South Dakota St.,W
Cornell,Illinois St.,L
Florida Atlantic,Liberty,L
Coppin St.,James Madison,L
Le Moyne,Bowling Green,L
North Texas,Loyola Chicago,W
Portland,UC Davis,W
UC Davis,Portland,L
Illinois St.,Cornell,W
Texas A&M,Oklahoma St.,L
North Carolina Centr,Appalachian St.,L
Dartmouth,Marist,L
Lehigh,West Virginia,L
Iowa St.,Mississippi St.,W
Connecticut,Columbia,W
Saint Louis,Lindenwood,W
Mississippi St.,Iowa St.,L
Santa Clara,Xavier,W
Northwestern,Cleveland St.,W
Washington St.,St. Thomas,W
Kent St.,UNC Wilmington,W
LSU,New Orleans,W
UCLA,West Georgia,W
Charleston Southern,The Citadel,W
The Citadel,Charleston Southern,L
Milwaukee,Little Rock,W
Lamar,TCU,L
Pittsburgh,Eastern Michigan,W
Utah,Holy Cross,W
TCU,Lamar,W
California,Cal St. Fullerton,W
Grand Canyon,Northern Illinois,W
Miami FL,Stetson,W
Rutgers,Maine,W
Seton Hall,Fairfield,W
Columbia,Connecticut,L
Niagara,Delaware St.,W
Eastern Kentucky,Western Kentucky,L
UNC Wilmington,Kent St.,L
West Georgia,UCLA,L
Little Rock,Milwaukee,L
Fairfield,Seton Hall,L
Western Kentucky,Eastern Kentucky,W
Holy Cross,Utah,L
Presbyterian,Georgia St.,W
Georgia St.,Presbyterian,L
Cleveland St.,Northwestern,L
Xavier,Santa Clara,L
New Haven,UMass Lowell,W
St. Thomas,Washington St.,L
UMass Lowell,New Haven,L
Eastern Michigan,Pittsburgh,L
Northern Illinois,Grand Canyon,L
Lindenwood,Saint Louis,L
Maine,Rutgers,L
Cal St. Fullerton,California,L
Indiana St.,SIU Edwardsville,W
North Carolina A&T,South Carolina St.,W
Stetson,Miami FL,L
Delaware St.,Niagara,L
New Orleans,LSU,L
Georgia Tech,Southeastern Louisia,W
Southeastern Louisia,Georgia Tech,L
SIU Edwardsville,Indiana St.,L
South Carolina St.,North Carolina A&T,L
Louisville,Kentucky,W
Colgate,Drexel,W
Yale,Quinnipiac,W
Providence,Penn,W
Georgia Southern,Florida Gulf Coast,W
Temple,La Salle,W
Duke,Army,W
Villanova,Sacred Heart,W
Montana,UNLV,W
Mississippi,Memphis,W
Kentucky,Louisville,L
Delaware,BYU,L
Virginia,Hampton,W
Clemson,Morehead St.,W
UCF,Florida A&M,W
Illinois,Texas Tech,W
UC Santa Barbara,Sacramento St.,W
BYU,Delaware,W
Wisconsin,Ball St.,W
Oklahoma,Arkansas Pine Bluff,W
Butler,Chicago St.,W
Toledo,Wright St.,W
SMU,Murray St.,W
Gonzaga,Creighton,W
Memphis,Mississippi,L
Penn St.,Navy,W
Saint Mary's,Ohio,W
Texas Tech,Illinois,L
Arkansas,Central Arkansas,W
Auburn,Wofford,W
Florida Gulf Coast,Georgia Southern,L
Northeastern,Harvard,W
Stephen F. Austin,Rice,W
Notre Dame,Eastern Illinois,W
New Mexico,UC Riverside,W
Murray St.,SMU,L
Ohio St.,Appalachian St.,W
UNLV,Montana,L
Wake Forest,Michigan,L
High Point,Jacksonville,W
Sacramento St.,UC Santa Barbara,L
Iona,UMKC,W
UC Riverside,New Mexico,L
Drexel,Colgate,L
Richmond,William & Mary,W
Florida St.,Florida,L
North Alabama,Northwestern St.,W
William & Mary,Richmond,L
Wagner,Fordham,L
Boise St.,UT Rio Grande Valley,W
Creighton,Gonzaga,L
Rhode Island,Stonehill,W
Buffalo,DePaul,W
Loyola Marymount,UTEP,W
Alabama St.,UAB,W
Missouri St.,Arkansas St.,L
Maryland,Alcorn St.,W
Arkansas Pine Bluff,Oklahoma,L
Morehead St.,Clemson,L
Penn,Providence,L
Kansas,Texas A&M Corpus Chr,W
North Dakota St.,Cal St. Northridge,W
Davidson,Charlotte,W
Arizona,Northern Arizona,W
Rice,Stephen F. Austin,L
Morgan St.,UMBC,L
UMBC,Morgan St.,W
Arkansas St.,Missouri St.,W
LIU,Air Force,W
Army,Duke,L
Wright St.,Toledo,L
North Carolina,Radford,W
UNC Asheville,Lipscomb,W
Sacred Heart,Villanova,L
Air Force,LIU,L
Eastern Illinois,Notre Dame,L
Ohio,Saint Mary's,L
UMKC,Iona,L
Appalachian St.,Ohio St.,L
Michigan,Wake Forest,W
Northwestern St.,North Alabama,L
Tulane,Louisiana,W
Tarleton St.,Merrimack,W
Navy,Penn St.,L
Radford,North Carolina,L
Wyoming,Austin Peay,W
Princeton,Bucknell,W
Coastal Carolina,Winthrop,W
Florida,Florida St.,W
Cincinnati,Dayton,W
