Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Charleston Southern,49.1,54.8,38.2,31.7,19.8,13,30.9,26.8,70.6,51.1,57.8,30.8,32.4,5.7,10.8,51.7,46.6,40.1,33.2,70.3,56.8,65.6
Northern Iowa,61.3,48.8,34.1,27.7,15.8,17.5,21.9,27.9,65.7,59.4,50.3,43,30.7,8.9,6.3,55.7,38.7,36.6,36.4,65.5,69.4,75
South Carolina,53.5,46.3,44.7,30.7,16.1,15.5,29.4,28.9,67.7,53.6,45.9,35.6,31.4,8.1,11.2,56.7,41.7,40.3,32,67.9,67.2,68.3
Lamar,49.1,47.8,31.5,38.7,19.3,18.1,35.3,33.5,68,47,49,35.7,30.5,15.6,10.5,54.1,56.3,32.1,38.9,66.6,70.2,67.8
Kentucky,57.2,45,31.6,23.5,13.1,13.9,31.5,24.8,73.8,58.7,47.6,36.7,27.5,13.3,6.4,59.1,44.9,42.1,41.1,73.3,72.3,69
Lafayette,47.6,49.6,33.3,38.4,16.3,17.7,26.3,33.9,66.6,44.6,50.6,34.6,32.1,9.3,7.7,61.2,54.6,41.4,37.7,67.4,72.8,72.6
VCU,52,43.1,37.6,37.1,18.1,22.3,31.5,29.6,67.7,55.4,43,32.5,28.8,15.2,6.2,59.9,40.7,51,30.8,68.8,69.5,69.4
Wisconsin,52.8,48.3,38.9,33.1,13.7,15.8,28.4,28.4,70.1,54.5,51,33.9,29.7,5.6,10.2,56.7,45.8,44.6,42.3,69.2,84.8,74.7
Alabama,54.9,46.8,42.1,32.8,16.9,14,35.7,28.8,75.2,61.5,47.8,31.8,30.1,10.2,10.2,56.5,41.5,48.1,36.4,74.6,72.5,72
Tennessee Tech,51.4,51.2,22.5,20.3,17.6,15.1,24,38.7,68.9,49.8,52.5,35.3,32.7,6.9,7.2,59.7,50.8,48.4,36.8,68.8,69.2,74.8
NJIT,44.2,47.1,27.5,39.2,19.5,14.2,27.1,36.7,65.6,44,48.7,29.7,29.2,11.7,10,45.6,48.6,39.9,32.9,66.3,76.6,65.1
North Alabama,50.3,54,23.9,27.9,14.4,19.7,29.1,29.5,68.4,50.8,57.3,32.9,33.2,7.8,8.8,42.2,57.6,37.9,43.5,69.6,69.1,66.9
Pepperdine,49.9,48.4,34.1,30.8,18,14.8,25.2,27.6,68.9,49.3,47.5,34,33.2,10,5.7,60.8,47.7,33.9,37.7,70.5,73.5,75.4
Cal Baptist,48.2,54.1,27.9,29.4,14.2,16.6,33.8,29.9,68.1,50.1,52.6,30,37.9,6.8,8.4,42.8,42.9,36.2,34.8,67,77.3,72.9
Dartmouth,48.3,54.3,31.4,27.7,16.1,15.9,21.1,24.6,71.6,47.4,57.3,32.9,33.1,4.8,8.8,57.4,49.7,49.1,39.1,71.9,70.9,70.4
La Salle,47.5,51.8,32.4,28.9,15.5,16.4,33.3,26.1,72.4,47.4,55.3,31.9,30.9,9,8.4,43.4,55.1,33.7,39.5,71.5,72.8,67.6
Tulsa,46.9,49.5,38.5,36,17.1,16.1,30.2,34.2,69.7,49.2,49.9,29.4,32.4,8.1,12.7,54.1,45,46,29.4,68.3,67.4,68.3
Incarnate Word,54.2,53.4,27.8,39.9,17,17.8,32.9,31.1,65.5,51.4,50.5,38.9,38.5,12.1,7.9,46.5,55,39.2,39.9,66.1,67.4,75.5
St. Thomas,57.5,52.2,30.6,35.8,16.4,18.6,22.6,32,70.6,56.8,54.4,38.9,32.8,8.8,10.4,53.7,56.6,45.5,41.8,69.1,77,69.4
Grand Canyon,49.6,53.2,42.3,33.5,18,21.5,30.8,26.6,73.3,51.4,53.6,31.1,35.1,9.8,9.7,55,45.6,37.2,34.1,73.6,74,77.8
Michigan St.,52.4,46.5,40.1,29.3,17.1,16.8,37.8,23.2,69.5,58,46.5,27.8,31,13.8,7.4,62.6,55.2,34,41.2,69.7,80.6,71.2
Cal St. Fullerton,44.8,51.7,39.7,38.9,20.2,17.3,26.3,34.1,65.2,47.7,55,25.7,31.9,5.1,9.1,43.4,55.9,31.3,45.5,65.9,76.1,71.6
Southeastern Louisia,49.5,49.6,27,35,21.1,19.3,27.9,29.5,69.3,49.7,53.1,32.6,30,7.8,10.1,51.4,54.1,33.8,43,69.1,73.4,66.7
UC Riverside,48.8,51.8,29.3,30.4,16.6,15.1,29.6,30.4,68.5,48.6,52.9,32.7,33.3,6.1,11.7,49,54.3,42.1,38.5,69,74,70.8
