Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
UC Santa Barbara,56.3,46.3,27,26.6,18.9,16.6,29.7,25.7,67.4,55.5,47.5,38.2,29.7,7.9,7.7,52.8,44.7,45,39.6,66.4,75.7,73.1
Arkansas Pine Bluff,50.9,61.2,25.9,37.1,23,14.3,23.2,41.9,73.9,55.5,66.5,29.5,36.9,5.2,8.1,46.6,65.4,41.3,48,74.5,66.5,70.6
Toledo,49.9,55.2,32.7,25.4,13.5,16.1,24.7,31.9,70.9,49.3,57.3,34.2,34.6,7.5,9.2,47.4,44.1,30.7,38.3,72,71.4,69.8
Indiana,54.7,48.2,36.7,26.9,19.1,17.3,33,29,70.8,56.7,48.4,33.7,31.8,10.5,6.5,58.9,55.4,32.2,38.1,71.8,74.8,68.1
Louisiana,47.3,54.8,30.1,45.2,17.3,18.9,25.7,36.6,67.2,46.2,54.6,32.7,36.8,8.2,10.5,50,47.8,40.1,35.2,68.9,69.9,72.1
Central Michigan,48.9,52.4,31.2,38.9,21.5,17,30.9,27.1,69.7,52.4,53.3,29.5,34.2,8.4,10.2,56.2,57.1,43.5,46.2,71.3,72.6,70.3
Brown,54.2,46.1,30.7,27.7,17.3,18,31.8,32.8,65.7,54.8,45.8,35.6,31.3,13.7,10.7,55.5,39.6,42.4,31.6,65.9,64.8,71.4
Wright St.,56.7,52.8,26.6,29.8,16.8,13.7,20.6,25.1,68.2,54.9,53,39.7,35,7.7,9.1,51,52.3,39.2,36.2,68.2,72,67.7
UC Irvine,50.8,43.1,33.3,23.1,19.9,18,28.5,22.9,69.8,50.6,42.8,34.1,29.1,8.3,7.4,63.9,45.1,32.7,32.6,71.6,83.8,71
Montana,51.7,53.4,35.3,33.3,19,15.1,24.7,32.5,70.8,56.1,55.8,30.3,32.6,8.6,10.5,48.5,49.1,41.3,34.8,70.7,73,78.9
UAB,50.3,50.1,32.7,31.2,14.9,16.6,38.3,29.9,72.3,51.6,50,31.4,33.6,9.9,9.1,48.7,47.2,30.1,37.1,71.8,71.9,76.7
Tulane,48.4,47.5,33,36.1,16.2,18.5,29.6,29.5,68.6,47.9,45.6,32.7,33.2,16.3,10.6,59,65.1,42.5,44.1,68.1,77.3,75.1
FIU,46.3,50.3,36.2,40.2,17,19.9,29.1,29.3,70.5,48.8,54.5,27,28.3,10.3,7.5,49.6,58.4,30.4,35.3,71.1,69.1,71.7
BYU,56.7,49.5,27.2,29.3,16.4,19.1,37.6,18.5,68.6,59,46.1,36.1,35.8,13.7,6.3,S,53.5,47.5,44.3,69.3,68.2,69.6
Illinois Chicago,48.8,53.4,33.5,34.6,21.5,15.3,37.8,27.5,70.4,49.7,50.9,31.6,38.8,8.6,11.8,55.5,55.2,39.8,33.6,71.3,72.1,65.9
Xavier,54.9,48.2,35.9,32,16.4,17.2,29.2,24.8,69.6,50.9,45.9,40.7,35.2,7,13.3,64.1,56.5,38.6,33.9,70,78.5,70.9
