,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
33,11/22/24,N,St. John's,BE,Virginia,N,"W, 80-55",138.3,90.7,62.7,127.7,60.7,11.2,35.5,16.4,87.8,50,25.5,20.7,40,99.2,13
34,12/8/24,N,Connecticut,BE,Texas,A,"W, 76-65",138.2,89.8,63,120.6,60.2,22.2,41.9,29.6,103.2,50,14.3,21.2,48,99.3,13
35,11/17/24,N,Baylor,B12,Tarleton St.,H,"W, 104-41",138.2,74,70.7,147.2,64.2,17,52.9,60,58,44.9,39.6,8,28.2,99.9,28
36,12/4/24,N,South Dakota,Sum,Idaho St.,H,"W, 94-80",138.1,128.5,67.1,140.2,60.5,13.4,45.2,56.1,119.3,52.3,17.9,48.8,35.9,69.6,11
37,11/30/24,N,Oregon St.,WCC,UC Davis,H,"W, 90-57",138.1,101,65.5,137.5,68.8,21.4,42.1,52.1,87.1,44.3,15.3,15.8,32.1,97.3,12
38,11/24/24,N,Villanova,BE,Maryland,N,"L, 76-75",137.4,110.2,62.2,120.7,54,16.1,43.8,14.5,122.3,55.4,20.9,50,33.9,92.7,5
39,11/27/24,N,Iowa St.,B12,Colorado,N,"W, 99-71",137.2,100.4,73.2,135.2,69.8,13.7,28,39.7,96.9,49.1,24.6,22.6,32.7,97.3,8
40,11/14/24,N,Missouri,SEC,Mississippi Valley S,H,"W, 111-39",137,81.4,67.9,163.5,68.5,7.4,51.4,53.8,57.5,28.1,33.9,31.4,31.2,99.8,28
41,12/15/24,N,Miami FL,ACC,Presbyterian,H,"W, 94-75",137,122.8,64.1,146.7,74,14,30,42.3,117.1,53.2,4.7,23.7,19,78,12
42,11/15/24,N,Wisconsin,B10,Arizona,H,"W, 103-88",136.9,99.9,82.2,125.4,59.6,12.2,6.7,90.4,107.1,40.5,15.8,48,54.1,97.4,8
43,11/9/24,N,Utah St.,MWC,Charlotte,H,"W, 103-74",136.9,110.1,69.6,147.9,62.9,10.1,51.6,40.9,106.3,55.8,24.4,33.3,42.3,92.4,11
44,11/26/24,N,San Francisco,WCC,Fordham,N,"W, 85-64",136.8,99,63.8,133.3,72.4,17.2,30.8,46.9,100.3,45.1,17.2,35.9,23,97.6,17
45,12/7/24,C,Stanford,ACC,California,A,"W, 89-81",136.8,110,66.1,134.7,62.3,10.6,26.9,35.1,122.6,47.9,10.6,47.6,22.5,92.5,11
46,11/27/24,N,Saint Louis,A10,UMass Lowell,H,"W, 93-90",136.6,128.4,67.2,138.4,70.5,14.9,29.2,32.1,134,68.9,10.4,19.2,13.1,67.2,9
47,12/10/24,N,Xavier,BE,Morgan St.,H,"W, 119-58",136.5,93.2,73.8,161.2,69.1,8.1,48.5,50,78.6,37.7,13.6,17.4,36.1,98.8,25
48,11/25/24,N,Connecticut,BE,Memphis,N,"L, 99-97",136.3,122.2,66,130.7,60,13.5,40,36.9,133.4,66,17.5,32.1,75.5,77.9,-3
49,11/16/24,N,Radford,BSth,Evansville,A,"W, 92-81",136.2,142,63.3,145.3,72.7,14.2,37.5,34.5,127.9,65.7,17.4,31,25.9,38.1,-7
50,12/8/24,N,Prairie View A&M,SWAC,Mississippi St.,A,"L, 91-84",136.1,115.2,68.1,123.3,65.5,14.7,23.3,36.4,133.6,65.7,17.6,44.4,57.4,87.3,0
51,11/4/24,N,Charlotte,Amer,Presbyterian,H,"W, 88-79",136,132.7,61.4,143.4,67.6,8.1,20,35.2,128.7,64,14.7,40.7,17.5,57,9
52,12/15/24,N,Iowa,B10,New Orleans,H,"W, 104-57",135.9,96.5,68.8,151.1,73.1,8.7,30.8,13.4,82.8,40.3,21.8,37.2,7.5,98.1,22
53,11/9/24,N,Louisiana Tech,CUSA,UT Arlington,A,"W, 92-77",135.8,109.6,66.7,137.9,59,10.5,46.9,42.6,115.4,48.5,16.5,47.4,25.4,92.2,9
54,11/22/24,N,Middle Tennessee,CUSA,South Florida,N,"W, 95-88",135.7,121.2,70.4,134.9,67.8,17,37.9,35.6,125,60.4,18.5,29.6,50.9,78.7,9
55,12/18/24,N,William & Mary,CAA,Richmond,H,"W, 93-87",135.6,137.9,66.4,140.1,62.5,10.5,38.7,40,131,62,12,25,44.4,45.1,2
56,11/9/24,N,Canisius,MAAC,St. Bonaventure,H,"L, 87-78",135.6,137.8,62.5,124.7,60.7,14.4,26.7,21.4,139.1,57.8,12.8,50,41.4,45.3,-6
57,12/14/24,N,Nevada,MWC,Texas Southern,H,"W, 105-73",135.6,111.3,72.1,145.6,73.8,13.9,26.9,27.9,101.2,53.4,18,18.2,22,90.6,14
58,12/8/24,N,Cornell,Ivy,Army,A,"W, 103-84",135.5,120.7,71.7,143.6,69.9,7,18.8,16.2,117.1,55.8,11.2,28.2,15.9,79.1,9
59,12/3/24,N,Mississippi,SEC,Louisville,A,"W, 86-63",135.5,88.9,67.2,128,63.3,11.9,22.2,21.7,93.7,37.7,17.9,40.5,52.6,99.2,10
60,11/24/24,N,Delaware,CAA,Yale,N,"W, 100-94",135.3,115.5,75.2,132.9,67.3,14.6,26.7,54.5,124.9,51.5,8,25.7,44.8,86.1,6
61,12/14/24,N,Kentucky,SEC,Louisville,H,"W, 93-85",135.3,109.4,73,127.4,68.2,15.1,25,50.9,116.5,54.3,9.6,22.7,20,92,7
62,12/18/24,C,Connecticut,BE,Xavier,H,"W, 94-89",135.3,118.9,63.5,131.5,53.6,9.8,41.2,30.4,124.5,61.2,14,25,36.2,81.5,2
63,11/26/24,N,Kansas,B12,Duke,N,"W, 75-72",134.9,92.7,68.1,110.1,56.1,23.5,33.3,21.1,105.7,61.5,23.5,19.2,37.5,98.7,5
64,11/16/24,N,Nevada,MWC,Santa Clara,H,"W, 85-59",134.9,85.1,65.4,130,65.6,15.3,29.6,64.6,90.2,41.4,16.8,29.3,32.8,99.5,17
65,11/24/24,N,Nevada,MWC,Oklahoma St.,N,"W, 90-78",134.8,109.2,69.2,130.1,65.2,14.5,27.6,44.6,112.8,48,11.6,27.3,82,91.9,7
66,11/4/24,N,Penn St.,B10,Binghamton,H,"W, 108-66",134.7,102.4,73.2,147.6,60.1,6.8,43.2,46.4,90.2,49.1,28.7,30.6,26.8,95.9,20
67,12/14/24,N,Santa Clara,WCC,Bradley,N,"W, 84-74",134.7,102.9,65.5,128.2,58.9,15.3,38.2,42.9,113,53.6,18.3,29,28.6,95.7,10
68,11/8/24,N,Villanova,BE,NJIT,H,"W, 91-54",134.7,112.3,60.4,150.6,67,8.3,39.3,39.3,89.4,52,19.9,12.9,10,89,13
69,12/15/24,N,Purdue Fort Wayne,Horz,Eastern Michigan,A,"W, 121-94",134.7,115.2,85.1,142.2,69.5,14.1,36.6,31.2,110.4,51.4,14.1,29.8,36.5,85.9,14
70,11/15/24,N,Purdue,B10,Alabama,H,"W, 87-78",134.4,102.3,67.5,128.9,56.3,4.4,27.8,39.7,115.6,51.6,11.9,30.6,23.8,95.8,2
71,12/15/24,N,North Dakota St.,Sum,Western Michigan,H,"W, 98-62",134.4,97.9,67.2,145.8,85.5,16.4,15,16.4,92.2,42.7,10.4,20.5,21,97.5,20
72,11/4/24,N,Alabama,SEC,UNC Asheville,H,"W, 110-54",134.3,82.7,74.1,148.4,70,13.5,48.3,61.7,72.9,31.5,12.1,25.5,19.2,99.6,18
73,11/30/24,N,San Diego St.,MWC,Houston,N,"W, 73-70",134.2,99.3,56.8,114.2,48.2,10.9,37.8,47.4,109.5,46,18.8,41.5,27.4,96.9,-3
74,11/11/24,N,Texas A&M,SEC,Lamar,H,"W, 97-71",134,103,72,134.7,65.5,19.4,46.9,55.2,98.6,42.2,13.9,31.1,39.1,95.4,16
75,11/23/24,N,Southern Utah,WAC,Idaho,N,"W, 82-67",133.9,112.8,57.7,142.2,67,15.6,41.7,26.4,116.2,50,6.9,30.3,21.1,87.7,11
76,11/28/24,N,Oklahoma,SEC,Arizona,N,"W, 82-77",133.6,99.4,69.5,118,53.4,24.5,44.1,36.2,110.8,46.9,14.4,39.5,29.2,96.8,6
77,11/5/24,N,Texas Tech,B12,Bethune Cookman,H,"W, 94-61",133.6,102.4,68.2,137.7,69.8,17.6,42.9,15.9,89.4,46.7,13.2,13.5,16.7,95.5,14
78,12/18/24,N,Oklahoma,SEC,Michigan,N,"W, 87-86",133.6,113.1,69.9,124.5,57.9,18.6,35.5,42.1,123.1,50,14.3,44.7,40.6,87.2,-4
79,12/7/24,N,Marquette,BE,Wisconsin,H,"W, 88-74",133.6,104.2,65.8,133.8,56.5,7.6,35.5,33.9,112.5,55.8,24.3,36.7,34.6,94.6,3
80,11/25/24,N,Purdue Fort Wayne,Horz,Drexel,N,"W, 87-81",133.5,128.9,64.7,134.5,64.4,7.7,23.1,22,125.2,57,18.5,47.1,17.2,59.9,1
81,11/22/24,N,Elon,CAA,Notre Dame,A,"W, 84-77",133.5,115,64.2,130.9,63.4,15.6,37,30.4,120,57.4,9.3,21.9,14.8,84.7,-1
82,11/4/24,N,Miami FL,ACC,Fairleigh Dickinson,H,"W, 113-72",133.4,106.1,74.5,151.7,71.7,10.7,38.5,26.1,96.7,53.8,20.1,18.2,45.3,93.3,17
83,11/10/24,N,North Florida,ASun,Georgia Tech,A,"W, 105-93",133.4,112.8,81.7,128.5,60.1,11,28.6,42,113.8,55.1,12.2,29.5,15.2,87.3,4
84,11/23/24,N,Akron,MAC,Nebraska Omaha,H,"W, 92-84",133.3,135.2,65.9,139.7,66.7,12.1,38.2,13.6,127.5,57.1,19.7,46.4,39.3,45.9,5
85,12/7/24,C,USC,B10,Washington,A,"W, 85-61",133.1,85.1,69,123.1,71,18.8,9.5,34,88.4,43.8,20.3,28.2,37.5,99.4,17
86,12/18/24,C,Xavier,BE,Connecticut,A,"L, 94-89",133.1,111.4,63.5,124.5,61.2,14,25,36.2,131.5,53.6,9.8,41.2,30.4,88.6,-2
87,11/20/24,N,UCLA,B10,Idaho St.,H,"W, 84-70",133,120,62.5,134.4,67,17.6,38.1,55.3,112,54.6,19.2,37,25.9,76.4,11
88,12/7/24,N,Gonzaga,WCC,Kentucky,N,"L, 90-89",132.9,103.6,65.8,120.3,50.7,8.1,35.7,33.8,121.7,50,9.5,37.2,24,94.6,6
89,11/26/24,N,Alabama,SEC,Houston,N,"W, 85-80",132.8,95.6,67.2,112.5,45.1,19.8,47.7,67.2,105.9,41.5,15.9,36.4,50.8,97.8,0
90,12/11/24,N,Cal Baptist,WAC,San Diego St.,A,"L, 81-75",132.8,127.4,61.4,122.1,54.7,21.2,51.5,7.8,131.8,63.7,11.4,33.3,39.2,61.7,-7
91,11/27/24,N,Dayton,A10,Connecticut,N,"W, 85-67",132.8,93.4,64.7,131.3,58,15.4,34.6,60,103.5,48.4,7.7,20,17.7,98.3,4
92,12/8/24,C,Merrimack,MAAC,Niagara,A,"W, 80-62",132.8,113.9,56,142.7,64.2,5.4,29.2,24.5,110.6,45.8,12.5,30,47.9,85.4,11
93,11/6/24,N,Columbia,Ivy,Villanova,A,"W, 90-80",132.6,105.7,67.2,133.9,61.1,11.9,29.2,48.1,119,54.2,17.9,40.6,28.3,93.1,2
94,12/8/24,C,Mount St. Mary's,MAAC,Fairfield,H,"W, 101-94",132.6,134,71.1,142,61.5,7,37.5,41.5,132.1,57.4,8.4,34.2,32.4,47,9
95,11/17/24,N,Saint Mary's,WCC,Nebraska,N,"W, 77-74",132.6,106.2,64.8,118.8,51.6,13.9,44.7,41,114.2,50,23.1,48.1,59.2,92.8,5
96,12/17/24,N,Maryland,B10,Saint Francis,H,"W, 111-57",132.6,100.4,71.2,155.8,72.8,7,39.3,25,80,46.6,21.1,8.6,5.1,96.1,14
97,12/15/24,N,Texas,SEC,Arkansas Pine Bluff,H,"W, 121-57",132.5,87.5,76.3,158.6,75,9.2,39.3,28.6,74.7,44.3,28.8,16.7,32.1,99.2,30
98,11/26/24,N,Iowa St.,B12,Dayton,N,"W, 89-84",132.5,111.7,68.6,129.8,55.2,10.2,27.6,50,122.5,65,16,29.2,52,87.8,0
99,11/6/24,N,Auburn,SEC,Vermont,H,"W, 94-43",132.4,73.5,69.7,134.8,68.8,12.9,27.6,17.2,61.7,30.2,22.9,22.2,19,99.9,21
100,12/7/24,N,Kentucky,SEC,Gonzaga,N,"W, 90-89",132.3,104.9,65.8,121.7,50,9.5,37.2,24,120.3,50.7,8.1,35.7,33.8,93.5,-6
101,11/4/24,N,Houston,B12,Jackson St.,H,"W, 97-40",132.2,71.9,67.7,143.2,67.2,13.3,39.3,10.4,59.1,31.9,31,22.2,31.9,99.9,27
102,11/15/24,N,Rutgers,B10,Monmouth,H,"W, 98-81",132.2,120,70.2,139.6,70.2,15.7,41.7,61.5,115.4,50,14.2,34.1,15.5,75.2,13
103,11/26/24,N,North Dakota St.,Sum,Samford,A,"L, 103-98",132.2,124.3,69.5,131,67.2,22.7,41.2,14.9,137.6,64.3,16,48.6,32.9,66.9,2
104,11/12/24,N,Baylor,B12,Sam Houston St.,H,"W, 104-67",132.1,93,73.2,142,68.6,20.5,53.3,15.7,91.5,52.5,21.8,21.2,15.3,98.3,16
105,11/12/24,N,Stanford,ACC,Northern Arizona,H,"W, 90-64",131.7,111.3,61.2,147.1,66.7,9.8,41.7,28.1,104.6,51.8,16.3,27.6,14.3,87.4,10
106,11/13/24,N,Texas Tech,B12,Wyoming,H,"W, 96-49",131.5,81.2,68.9,139.4,72.1,18.9,47.8,18,71.1,36.8,36.3,42.5,34,99.6,18
107,11/4/24,N,Utah,B12,Alcorn St.,H,"W, 100-59",131.3,106.5,66.2,151.1,72.8,15.1,42.9,43.9,89.2,39.1,21.2,36.8,40,91.8,14
108,12/10/24,N,Syracuse,ACC,Albany,H,"W, 102-85",131.2,120.2,72.8,140.1,68.3,15.1,37.5,28.6,116.8,52.9,6.9,29.3,27.1,73.2,10
109,12/7/24,N,Winthrop,BSth,Coastal Carolina,H,"W, 96-89",131.2,134.3,70.4,136.4,61.3,7.1,24.1,75.5,126.4,63,17,30,53.7,43.3,3
110,12/4/24,N,St. Thomas,Sum,Northern Colorado,A,"W, 87-75",131.2,113.9,65.3,133.3,70.5,9.2,16.7,23.2,114.9,60.2,24.5,37,49,83.5,5
111,12/17/24,C,Villanova,BE,Seton Hall,H,"W, 79-67",130.9,113.4,65.2,121.1,64.9,16.9,13.6,46.8,102.7,44.1,12.3,30,35.6,83.9,6
112,12/17/24,N,South Carolina,SEC,Clemson,H,"W, 91-88",130.8,107.7,67.2,120.4,57.8,15.9,35.5,58.6,116.5,53.9,13.2,25,32.8,90.3,5
113,12/7/24,N,UTEP,CUSA,Seattle,H,"W, 88-72",130.8,98.2,68.9,127.6,62.3,20.3,37,33.3,104.4,55.1,24.7,32.3,51,96.4,19
114,12/5/24,N,Samford,SC,South Carolina St.,A,"W, 88-81",130.6,122.2,68.1,129.3,68.8,19.1,25,26.8,119,64.8,20.6,38.5,35.2,68.2,6
115,12/10/24,N,Charlotte,Amer,Davidson,A,"L, 75-71",130.5,126.1,55.5,127.9,52.8,9,39.4,35.2,135.1,58.2,10.8,41.2,34.5,59.8,-2
116,11/8/24,N,Eastern Kentucky,ASun,East Tennessee St.,A,"W, 82-78",130.4,109.1,66.4,123.4,59,18.1,38.2,24.6,117.4,47.5,18.1,53.8,47.5,88.6,11
117,12/3/24,N,Tennessee,SEC,Syracuse,H,"W, 96-70",130.4,98.9,70.2,136.8,61.5,11.4,38.2,36.9,99.7,54.7,15.7,15.6,39.6,96,10
118,11/7/24,N,Chattanooga,SC,Saint Mary's,A,"L, 86-74",130.3,121,64.1,115.4,58.5,14,17.9,32.1,134.1,59.6,14,39.4,61.5,70,-4
119,12/18/24,N,Michigan,B10,Oklahoma,N,"L, 87-86",130.3,111.6,69.9,123.1,50,14.3,44.7,40.6,124.5,57.9,18.6,35.5,42.1,85.6,4
120,12/3/24,N,California,ACC,Missouri,A,"L, 98-93",130.2,112.4,76,122.4,58.1,19.7,42.4,40.3,129,68.9,14.5,20,71.7,84.5,2
121,11/15/24,N,Florida,SEC,Florida St.,A,"W, 87-74",130,94.4,74.5,116.7,60.7,25.5,46.4,27.9,99.3,43.6,10.7,29.2,30,97.5,9
122,12/12/24,N,Texas,SEC,New Mexico St.,H,"W, 91-67",130,97,69.6,130.8,63.8,14.4,37,39.7,96.3,50,21.6,21.2,23.2,96.6,17
123,12/12/24,N,Iowa,B10,Iowa St.,H,"L, 89-80",129.8,106.5,71.3,112.2,53.2,12.6,22.2,23.8,124.8,52.1,12.6,40.9,31.4,90.7,5
124,11/26/24,N,Samford,SC,North Dakota St.,H,"W, 103-98",129.8,124.2,69.5,137.6,64.3,16,48.6,32.9,131,67.2,22.7,41.2,14.9,62.4,-2
125,11/25/24,N,Iowa St.,B12,Auburn,N,"L, 83-81",129.7,92.7,71.1,113.9,53.8,12.7,16.7,54.7,116.7,55.1,16.9,31.2,37.3,97.9,6
126,11/22/24,N,Ohio St.,B10,Campbell,H,"W, 104-60",129.7,97.3,73,142.5,75,11,21.4,30.6,82.2,44.2,20.5,12.1,40.4,96.5,16
127,11/22/24,N,Liberty,CUSA,Louisiana,N,"W, 89-69",129.7,108.7,65.1,136.8,76.5,23.1,42.9,46.9,106.1,51.8,12.3,20,23.2,88.4,12
128,11/26/24,N,Montana St.,BSky,Abilene Christian,H,"W, 85-59",129.6,94.7,64.4,131.9,75,20.2,25,26,91.6,44,12.4,20.6,20.7,97.4,17
