,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
896,11/4/24,N,Mississippi St.,SEC,West Georgia,H,"W, 95-60",115,98.4,73.1,130,66.2,11,24.2,24.6,82.1,42.6,27.4,27.8,37,85.8,11
897,11/11/24,N,Ohio St.,B10,Youngstown St.,H,"W, 81-47",115,78.6,69.8,116.1,64.3,21.5,30.4,23.2,67.3,26.3,17.2,27.7,40.7,98.8,14
898,11/26/24,N,San Diego St.,MWC,Creighton,N,"W, 71-53",114.9,79.5,65.2,108.8,54.8,12.3,21.2,11.3,81.2,38.7,15.3,29.8,21,98.6,7
899,11/24/24,N,Drake,MVC,Vanderbilt,N,"W, 81-70",114.9,91.2,70.9,114.2,58.3,28.2,54.2,37,98.7,48.1,21.1,27.3,44.4,93.5,3
900,11/4/24,N,Incarnate Word,Slnd,Cal Baptist,A,"L, 83-78",114.9,115.1,67.1,116.2,59.8,19.4,36.7,14.8,123.7,51.5,7.5,36.8,35.4,49.6,4
901,11/30/24,N,Marshall,SB,Western Kentucky,A,"L, 90-82",114.9,111.6,78.7,104.3,44,17.8,34.9,41.8,114.4,65.6,17.8,10.7,83.3,58.4,-3
902,11/22/24,N,New Orleans,Slnd,Tulane,A,"W, 93-87",114.9,101.3,74.4,111.1,58.1,16.7,20,50,103.9,45.5,14.3,26.2,49.3,81.1,9
903,12/15/24,N,South Alabama,SB,Texas A&M Commerce,A,"W, 81-72",114.9,120.9,67.5,120,60.2,10.4,25,53.7,106.7,65,29.6,25.9,22,35.6,2
904,11/30/24,N,Stanford,ACC,Cal Poly,H,"L, 97-90",114.8,124,76.9,117,53.7,11.7,26.3,32.8,126.1,63.9,18.2,26.7,36.1,29.3,5
905,12/17/24,N,North Carolina,ACC,Florida,N,"L, 90-84",114.8,101,78.4,107.1,49.3,12.8,30.2,26.4,114.8,54.6,21.7,41,41.5,81.5,-6
906,11/8/24,N,UNC Wilmington,CAA,Georgia Southern,H,"W, 92-84",114.8,118.4,77.2,119.2,47,15.6,38.9,118,108.9,55.9,18.1,20.5,47.5,41.2,-3
907,12/5/24,N,Maryland Eastern Sho,MEAC,Longwood,A,"L, 80-76",114.8,116.6,68.8,110.4,71.1,30.5,19,81.6,116.2,48.6,11.6,44.2,30.4,45.6,2
908,11/26/24,N,Fairleigh Dickinson,NEC,Saint Peter's,H,"L, 78-76",114.8,121.4,66,114,52.7,18,43.8,41.1,117,57.5,22.5,35.7,41.5,34.5,4
909,11/11/24,N,North Alabama,ASun,Tennessee Martin,H,"W, 87-69",114.8,112,70.7,123.1,55,14.2,36.8,18.6,97.7,52.7,25.5,35.3,26.8,57,7
910,11/24/24,N,New Mexico,MWC,Texas Southern,H,"W, 99-68",114.8,99.7,78,126.9,58,9,34.1,28,87.2,46.6,25.6,23.7,28.8,83.5,8
911,11/4/24,N,Towson,CAA,Saint Mary's,A,"L, 76-69",114.8,108.4,65.4,105.5,45.3,10.7,32.5,29.7,116.2,50,15.3,45.2,53.7,66,-7
912,11/26/24,N,Florida St.,ACC,Western Carolina,H,"W, 91-57",114.8,86.6,76.3,119.2,65.7,23.6,28.6,48.1,74.7,39.1,24.9,28.2,14.1,96.2,16
913,11/26/24,N,Western Illinois,OVC,South Alabama,A,"W, 64-63",114.8,97.6,59.9,106.8,55.7,20,28.1,11.3,105.1,41.5,8.3,30.8,32.2,86.6,12
914,12/15/24,N,Milwaukee,Horz,Akron,N,"W, 100-81",114.7,92.4,84.9,117.8,66.4,25.9,37.5,31.2,95.4,52.8,20,19,15.3,92.3,10
915,11/22/24,N,Jacksonville St.,CUSA,Toledo,N,"L, 82-80",114.7,120.5,65.9,121.3,59.5,19.7,40,25.9,124.4,56.9,6.1,21.6,15.4,36.1,0
916,11/14/24,N,Northern Colorado,BSky,South Dakota St.,N,"W, 78-69",114.7,93.5,70.7,110.4,55.5,8.5,12.1,12.5,97.7,35.9,11.3,34.7,28.2,91.3,9
917,12/3/24,N,Georgia,SEC,Notre Dame,H,"W, 69-48",114.7,82.8,58.8,117.4,49.2,8.5,41.2,14.3,81.7,40.4,17,21.2,17.3,97.7,7
918,11/4/24,N,Washington St.,WCC,Portland St.,H,"W, 100-92",114.7,119,80.6,124.1,65.8,26.1,44.4,56.1,114.2,57.4,18.6,32.5,30.9,39.5,2
919,11/14/24,N,New Mexico St.,CUSA,Texas A&M Corpus Chr,H,"W, 83-82",114.7,104.9,74.9,110.8,46.7,14.7,45.5,59,109.5,44.9,8,35,48.5,73.5,9
920,11/5/24,N,BYU,B12,Central Arkansas,H,"W, 88-50",114.6,87.2,68.7,128.1,56.2,16,48.8,15.3,72.8,40.2,26.2,27.5,23.2,95.8,15
921,12/3/24,N,Florida St.,ACC,LSU,A,"L, 85-75",114.6,108.3,73.1,102.6,43.1,19.1,44,30.6,116.3,52.4,15,39.5,46.8,65.6,-3
922,11/27/24,N,Gonzaga,WCC,West Virginia,N,"L, 86-78",114.6,101.9,68.4,101.4,45.4,16.9,26.8,33.8,111.8,50,16.9,32.4,41.3,79.4,2
923,11/26/24,N,Cal Poly,BW,Grambling St.,H,"W, 82-79",114.6,119,70.2,116.9,57.9,11.4,21.2,19,112.6,58.2,15.7,21.1,23,39.2,5
924,11/20/24,N,Dayton,A10,New Mexico St.,H,"W, 74-53",114.6,95,60.6,122.1,55.2,11.6,38.2,31,87.5,40.9,14.9,26.3,25.5,89.7,6
925,12/14/24,N,Gardner Webb,BSth,Queens,H,"L, 85-83",114.6,134.6,68.1,121.9,69.2,23.5,33.3,42.3,124.8,65.6,17.6,29.2,60.4,13.6,-5
926,11/15/24,N,Samford,SC,North Alabama,A,"W, 97-96",114.6,103.4,78.4,110,58.2,23.8,35,44.8,108.9,49.3,15.9,38.3,51.4,76.6,9
927,11/17/24,N,Stanford,ACC,UC Davis,H,"W, 79-65",114.6,97.3,72.5,109,43.3,13.8,37.2,37.3,89.7,50,19.3,9.4,32.1,86.7,10
928,12/4/24,C,Utah St.,MWC,Wyoming,H,"W, 70-67",114.6,116.2,60.3,116.1,45.5,13.3,40.5,46.4,111.1,62.5,19.9,20,18.8,46.2,1
929,12/14/24,N,Bowling Green,MAC,UMKC,A,"L, 85-77",114.5,132.1,66.7,115.5,59.8,19.5,28.6,25,127.5,69.4,16.5,21.7,22.2,16.1,-5
930,12/14/24,N,BYU,B12,Wyoming,N,"W, 68-49",114.5,82.5,60.2,112.9,62,21.6,20.8,30.4,81.4,47.9,23.2,19.4,16.7,97.7,13
931,11/28/24,N,Louisville,ACC,West Virginia,N,"W, 79-70",114.5,94.2,64.6,108.7,48.2,20.6,35.9,57.9,96.3,51.7,22,25,20.3,90.4,-2
932,11/8/24,N,Maryland,B10,Mount St. Mary's,H,"W, 86-52",114.5,82.6,70.4,122.2,50,8.5,35.7,46.2,73.9,47.6,35.5,20.7,47.6,97.7,16
933,12/1/24,N,Massachusetts,A10,NJIT,H,"W, 80-68",114.5,113.9,67.3,118.9,52.5,11.9,36.1,46.7,101,39.7,14.9,37.5,48.3,51.7,12
934,11/24/24,N,Texas St.,SB,Ohio,N,"W, 74-65",114.5,101.4,62.7,118,48.4,15.9,50,28.6,103.6,44.2,11.2,21.6,48.1,80.1,3
935,12/14/24,N,Texas A&M,SEC,Purdue,N,"W, 70-66",114.5,88.2,65.6,106.7,53,27.4,48.3,48,100.6,53.8,24.4,28.6,18.9,95.2,4
936,11/22/24,N,Indiana St.,MVC,Chicago St.,H,"W, 97-61",114.4,108.5,72.8,133.2,69.2,17.9,33.3,35,83.8,38.2,15.1,25.5,20.6,64.8,6
937,11/27/24,N,Texas A&M,SEC,Creighton,N,"W, 77-73",114.4,99.3,71.3,108.1,43,14,44.7,32.4,102.4,49.2,21,28.9,26.7,83.6,-3
938,11/29/24,N,Texas,SEC,Delaware St.,H,"W, 90-68",114.4,99.9,74.7,120.5,58.1,10.7,18.2,38.7,91,40,17.4,31.1,32.3,82.6,16
939,12/13/24,C,Indiana,B10,Nebraska,A,"L, 85-68",114.4,111.4,68.9,98.7,41.5,13.1,34.1,30.8,123.3,69.4,20.3,23.1,53.1,57.7,-3
940,12/7/24,N,St. John's,BE,Kansas St.,H,"W, 88-71",114.4,93.3,76.3,115.4,48,10.5,34.9,22.7,93.1,40.8,10.5,25,28.2,91.2,2
941,11/9/24,N,Connecticut,BE,New Hampshire,H,"W, 92-53",114.4,102.8,69.7,132,57.9,14.3,41.7,39.7,76.1,38.5,24.4,15.6,41.7,77.4,7
942,11/17/24,N,Oregon,B10,Troy,H,"W, 82-61",114.4,83.3,73.9,111,58,23,35.7,33.9,82.6,39.6,23,31.7,14.9,97.5,14
943,12/18/24,N,Bethune Cookman,SWAC,South Florida,A,"W, 77-69",114.3,99.9,67.4,114.2,51.9,20.8,36.7,45.3,102.4,41.7,17.8,39,40,82.5,6
944,11/20/24,N,Arizona St.,B12,Cal Poly,H,"W, 93-89",114.3,112.3,78.8,118,56.9,16.5,38.2,70.7,112.9,61.7,15.2,8.8,23.4,55.1,6
945,11/30/24,N,Notre Dame,ACC,Creighton,N,"L, 80-76",114.3,110.7,70.1,108.4,50,12.8,30.8,23.1,114.1,58.8,17.1,16.7,26.3,59,-7
946,12/1/24,N,Maryland,B10,Alcorn St.,H,"W, 96-58",114.2,95.6,71.7,132,67,17.9,36,42.9,79.7,35.1,19.2,30,25.4,88.6,12
947,12/2/24,N,Bryant,AE,Drexel,A,"W, 78-73",114.2,101.7,70.7,110.3,47.5,8.5,28.2,50.8,103.3,47.8,15.6,34.1,20.6,79.1,5
948,12/17/24,N,James Madison,SB,Wake Forest,A,"L, 75-58",114.2,119,59.7,97.1,44.8,13.4,29.7,15.5,125.6,55.8,15.1,46.9,21.7,38.5,-2
949,11/22/24,N,UAB,Amer,Longwood,N,"L, 89-81",114.2,124,72.9,111.1,48.6,15.1,42.5,29,122,55,9.6,21.4,43.3,28,-1
950,12/7/24,N,Belmont,MVC,Middle Tennessee,H,"W, 82-79",114.2,106.6,72.8,112.6,46.6,11,40.4,28.8,108.5,53,19.2,34.3,18.2,69,5
951,11/4/24,N,Boston University,Pat,Northeastern,H,"L, 80-72",114.2,126.4,65.3,110.2,54,18.4,37.8,17.7,122.4,71.3,18.4,19,46.8,23.9,-2
952,11/30/24,N,Purdue Fort Wayne,Horz,Texas A&M Commerce,A,"W, 77-57",114.2,98.2,65.2,118.1,60.5,12.3,25.8,26.3,87.4,53,32.2,27.3,18,85.1,11
953,11/21/24,N,Texas Tech,B12,Saint Joseph's,N,"L, 78-77",114.2,111.1,70.1,109.8,45.5,15.7,43.6,30.3,111.2,58,18.5,18.2,58,58,-5
954,11/7/24,N,Loyola Chicago,A10,Detroit Mercy,H,"W, 87-65",114.1,102.5,71.3,122,55.9,21,42.9,45.8,91.2,39,25.2,45.5,49.2,77.4,11
955,12/14/24,N,Drexel,CAA,Albany,A,"W, 77-70",114.1,101.8,66.7,115.4,68.3,28.5,35.3,63.4,104.9,49.1,16.5,27.6,26.3,78.8,9
956,11/16/24,N,East Tennessee St.,SC,Davidson,A,"L, 76-70",114.1,112.2,62.9,111.2,57.1,12.7,25,25,120.8,58.5,20.7,42.9,68.1,54.8,-2
957,11/25/24,N,South Alabama,SB,Incarnate Word,H,"W, 84-63",114.1,101.5,65.2,128.8,77.6,19.9,10.5,24.5,96.6,55.8,21.5,18.2,19.2,79.4,8
958,11/25/24,N,Mercer,SC,Jacksonville,N,"W, 90-89",114.1,120,70.2,113.9,63.7,22.8,30,25.8,112.7,50,20.3,47.6,33.3,35.9,-6
959,11/9/24,N,Cal Baptist,WAC,Kennesaw St.,H,"W, 88-84",114.1,117.3,74.3,118.5,42.7,10.8,37.5,67.7,113.1,57.5,22.9,32.4,26.7,42.3,1
960,11/8/24,N,Purdue,B10,Northern Kentucky,H,"W, 72-50",114.1,87.3,62.2,115.8,61.8,20.9,30.8,27.5,80.5,34.2,20.9,37.5,24.6,95.6,12
961,12/8/24,N,Mississippi St.,SEC,Prairie View A&M,H,"W, 91-84",114.1,130.4,68.1,133.6,65.7,17.6,44.4,57.4,123.3,65.5,14.7,23.3,36.4,17.7,0
962,11/27/24,N,South Dakota,Sum,Nebraska,A,"L, 96-79",114.1,119.7,75.9,104.1,50,15.8,23.7,45,126.5,58.1,15.8,36.8,30.9,36.6,-12
963,11/8/24,N,Illinois Chicago,MVC,Yale,H,"W, 91-79",114.1,100.7,76.9,118.3,54.4,11.7,30,33.8,102.7,54.5,20.8,17.6,44.6,80.7,1
964,11/8/24,N,Santa Clara,WCC,Arizona St.,N,"L, 81-74",114,108.3,70.2,105.4,48.5,12.8,29.3,24.2,115.4,59.4,21.4,32.4,50.9,64.1,-2
965,12/8/24,N,Army,Pat,Cornell,H,"L, 103-84",114,136.7,71.7,117.1,55.8,11.2,28.2,15.9,143.6,69.9,7,18.8,16.2,10.9,-9
966,11/19/24,N,Florida St.,ACC,Hofstra,H,"W, 79-61",114,95.7,69.1,114.3,53.5,17.4,31.2,40.4,88.2,56,28.9,19.2,14,88.3,8
967,12/3/24,N,Lipscomb,ASun,Chattanooga,A,"W, 80-62",114,91.4,67.1,119.3,64.9,19.4,21.7,10.5,92.5,50,13.4,9.7,16.1,92.7,8
968,11/24/24,N,LSU,SEC,UCF,N,"W, 109-102",114,105.5,70.8,112,50,17.5,41.2,33,104.8,46.7,16.4,37.5,27.8,70.9,-8
969,12/14/24,N,Clemson,ACC,Memphis,H,"L, 87-82",114,107.4,66.3,109.9,52.2,17.4,33.3,22.4,116.6,61.7,21.4,32.3,28.3,66.5,-3
970,11/18/24,N,George Washington,A10,NJIT,H,"W, 84-64",114,114.7,67.3,124.9,56.4,10.4,31,52.7,95.1,50,26.8,31.2,18.2,48.1,7
971,12/7/24,N,UMass Lowell,AE,Massachusetts,A,"W, 96-83",114,103.7,82.4,116.5,66,25.5,15.8,68,100.7,49.2,15.8,31.4,52.4,74.8,4
972,11/29/24,N,Arkansas St.,SB,Indiana St.,N,"W, 86-81",113.9,104.7,74,116.3,52.2,10.8,30,32.4,109.5,48.5,12.2,28.6,29.9,72.6,8
973,11/24/24,N,Cal St. Northridge,BW,Utah Tech,N,"W, 89-79",113.9,122.5,71.7,124.2,61.9,15.3,35.3,31.7,110.2,54,19.5,17.9,54,30.1,-4
974,11/19/24,N,Charleston Southern,BSth,LSU,A,"L, 77-68",113.9,105.2,67.4,100.8,40.9,13.3,38.3,31.8,114.2,54.2,16.3,35.1,39,71.4,-1
975,11/15/24,N,Sacred Heart,MAAC,Holy Cross,N,"L, 82-75",113.9,131.2,62.4,120.1,53.6,12.8,32.4,39.3,131.4,60.4,11.2,34.5,45.3,16.4,1
976,11/12/24,N,Lehigh,Pat,Columbia,A,"L, 76-75",113.9,118.9,62.8,119.4,63.2,12.7,14.3,26.4,121,52.4,9.6,41,33.9,37.8,-6
977,11/27/24,N,Milwaukee,Horz,UCF,A,"L, 84-76",113.9,110.3,72.1,105.4,52.3,20.8,36.8,21.5,116.5,56.3,11.1,20.6,25.4,59.2,-3
978,11/8/24,N,N.C. State,ACC,Presbyterian,H,"W, 81-72",113.9,110.6,67.3,120.3,61.6,17.8,35.7,33.9,107,53.5,22.3,38.7,28.1,58.4,8
979,11/19/24,N,Marquette,BE,Purdue,H,"W, 76-58",113.9,79.8,67.8,112,51.7,8.8,18.2,25,85.5,46,22.1,15.6,36,98.4,6
980,11/21/24,N,Clemson,ACC,Radford,H,"W, 79-51",113.9,84.1,64.2,123,62.2,17.1,23.1,44.9,79.4,34.5,17.1,26.8,34.5,97,12
981,12/5/24,N,South Carolina St.,MEAC,Samford,H,"L, 88-81",113.9,123,68.1,119,64.8,20.6,38.5,35.2,129.3,68.8,19.1,25,26.8,29.3,-6
982,11/30/24,N,Siena,MAAC,Bucknell,N,"W, 71-58",113.8,102.6,61.9,114.7,55.8,17.8,21.7,65.1,93.7,46.1,19.4,33.3,35.3,76.8,8
983,11/16/24,N,Idaho,BSky,BYU,A,"L, 95-71",113.8,112.2,71.7,99,61.5,26.5,13.8,21.2,132.4,64.4,8.4,25,50.8,53.9,-4
984,12/8/24,N,Fordham,A10,Maine,H,"W, 87-72",113.8,97.6,77.4,112.3,58.2,20.7,36.1,41,93,41.7,16.8,22.5,28.8,85.4,12
985,11/26/24,N,Manhattan,MAAC,Virginia,A,"L, 74-65",113.8,122,61.9,104.9,53.8,22.6,32.3,18.9,119.5,59.3,12.9,25,27.8,31,-9
986,11/21/24,N,Vanderbilt,SEC,Nevada,N,"W, 73-71",113.8,94.5,68.2,107.1,52.5,19.1,30.6,30.5,104.2,59.3,23.5,29.6,18.5,89.4,3
987,11/27/24,N,South Carolina,SEC,Virginia Tech,N,"W, 70-60",113.8,95.4,63.1,110.9,54.8,15.8,25.7,40.4,95,45.8,14.3,24.3,15.3,88.3,6
988,11/25/24,N,Troy,SB,UTSA,H,"W, 86-72",113.8,103.5,71,121.1,65.7,22.5,29.2,49,101.4,55.5,28.2,35.5,23.6,74.8,8
989,12/13/24,N,Weber St.,BSky,Utah Tech,A,"W, 73-71",113.8,123.6,61.2,119.3,56.6,18,40,35.8,116,57.1,16.3,31,49,27.8,-2
990,11/25/24,N,Cal St. Northridge,BW,Denver,N,"W, 89-60",113.7,91.3,71.4,124,53.8,13.9,33.3,73.1,83.6,42.9,19.5,15,32.1,92.5,12
991,11/13/24,N,UC Santa Barbara,BW,Fresno St.,H,"W, 91-86",113.7,116.6,81.5,111.6,59.6,24.5,22.2,63.5,105.5,52.2,15.9,25.6,35.8,42.8,6
992,11/21/24,N,South Carolina,SEC,Mercer,H,"W, 84-72",113.7,112.1,68.5,122.6,60,13.1,25,52.7,105.1,56.1,17.5,19.4,15.8,54.1,3
993,12/4/24,N,Montana St.,BSky,Nebraska Omaha,A,"W, 76-65",113.7,105.7,64.6,117.7,63,13.9,12.5,32,100.7,46.3,15.5,24.2,37,69.8,4
994,11/30/24,N,Louisiana,SB,Nicholls St.,H,"L, 76-75",113.7,121.8,64.7,115.9,50.9,12.4,36.4,36.2,117.4,52.7,15.4,28.1,36.4,31.1,2
995,12/1/24,N,Norfolk St.,MEAC,Stony Brook,A,"W, 77-66",113.7,107.5,64.5,119.4,56.5,14,27.6,37,102.3,43.8,9.3,17.9,35.7,65.5,8
996,12/4/24,C,Fairfield,MAAC,Rider,H,"W, 78-75",113.7,120,66,118.2,55.6,22.7,51.4,22.6,113.6,53.6,16.7,36.4,47.3,35,4
997,11/10/24,N,San Jose St.,MWC,Hawaii,A,"L, 80-69",113.7,123.3,63,109.6,48,12.7,25.8,48,127.1,60,9.5,22.2,36.4,28.4,-1
998,12/14/24,N,South Carolina St.,MEAC,Furman,A,"L, 68-64",113.7,109.5,60.5,105.8,43.3,14.9,39,30,112.4,55.8,23.2,39.1,55.8,60.6,2
999,11/15/24,N,Arizona,B12,Wisconsin,A,"L, 103-88",113.6,109,82.2,107.1,40.5,15.8,48,54.1,125.4,59.6,12.2,6.7,90.4,61.7,-8
1000,11/13/24,N,Colorado,B12,Cal St. Fullerton,H,"W, 83-53",113.6,92.7,66.9,124.1,67.9,23.9,32,26.4,79.3,32.8,16.5,26.8,29.3,91.2,8
1001,11/17/24,N,California,ACC,USC,A,"W, 71-66",113.6,95.5,65.9,107.7,55.5,19.7,25,23.6,100.1,49.1,15.2,27.3,24.6,88,1
1002,12/7/24,N,Arkansas Pine Bluff,SWAC,Central Arkansas,H,"W, 84-78",113.6,120.9,70.4,119.2,67,19.9,24.1,34,110.7,43.7,15.6,44,36.6,32.8,8
1003,11/8/24,N,Central Connecticut,NEC,Saint Joseph's,A,"W, 73-67",113.6,94.5,68.9,106,56.1,16,18.2,24.6,97.3,49.1,18.9,27,29.3,89.2,3
1004,11/4/24,N,Gardner Webb,BSth,Tennessee,A,"L, 80-64",113.6,105,67.6,94.7,49.1,22.2,32.3,27.3,118.4,58.2,16.3,26.7,38.2,71.3,-11
1005,12/17/24,N,Duke,ACC,George Mason,H,"W, 68-47",113.6,76.7,62.9,108.1,45.5,15.9,37.8,37.5,74.7,30.9,20.7,41.7,8.8,98.9,10
1006,11/22/24,N,Illinois St.,MVC,McNeese St.,N,"L, 76-68",113.6,117,61.7,110.3,55,11.4,18.8,42,123.3,51.9,11.4,32.4,48.1,41.6,-7
1007,11/16/24,N,Saint Louis,A10,Loyola Marymount,H,"W, 77-71",113.6,103.6,70,110,53.3,17.1,30.8,31.1,101.4,45.2,17.1,31,30.6,74.3,9
1008,12/8/24,C,Niagara,MAAC,Merrimack,H,"L, 80-62",113.6,154,56,110.6,45.8,12.5,30,47.9,142.7,64.2,5.4,29.2,24.5,2.9,-11
1009,12/14/24,N,Tennessee,SEC,Illinois,A,"W, 66-64",113.6,88.9,65.7,100.5,37.1,9.1,40.5,45.2,97.4,33.3,16.7,32.4,70.6,94.4,-1
1010,11/28/24,N,Arizona,B12,Oklahoma,N,"L, 82-77",113.5,109.1,69.5,110.8,46.9,14.4,39.5,29.2,118,53.4,24.5,44.1,36.2,61.1,-6
1011,12/8/24,N,Saint Louis,A10,Chicago St.,H,"W, 85-62",113.5,113.1,66.8,127.2,58.3,16.5,41.2,33.3,92.8,41.9,16.5,30.2,24.2,51,6
1012,12/1/24,N,Eastern Kentucky,ASun,Troy,A,"L, 84-74",113.5,119.7,69.1,107.2,50,14.5,30.6,25.8,121.7,66,27.5,42.9,40,35.1,-5
1013,11/4/24,N,Tennessee,SEC,Gardner Webb,H,"W, 80-64",113.5,96.1,67.6,118.4,58.2,16.3,26.7,38.2,94.7,49.1,22.2,32.3,27.3,87.1,11
1014,11/16/24,N,Cornell,Ivy,Lafayette,H,"W, 81-71",113.5,113.5,68.5,118.3,55.4,17.5,41.2,48.2,103.7,50.8,23.4,38.9,24.6,50.1,6
1015,12/4/24,N,Marquette,BE,Iowa St.,A,"L, 81-70",113.5,100.6,69.9,100.2,46.4,15.7,35.6,14.3,115.9,55.9,17.2,34.4,35.6,80,-7
1016,11/17/24,N,Mississippi St.,SEC,Utah,N,"W, 78-73",113.5,98.3,72.2,108.1,40.3,9.7,35.4,49.3,101.2,52.4,18,26.3,22.6,83.9,-1
1017,11/27/24,N,Georgia Tech,ACC,Charleston Southern,H,"W, 91-67",113.4,97.3,74.6,122,54.9,9.4,35.1,27.8,89.9,37.5,18.8,31,62.5,85.3,12
1018,11/9/24,N,Kansas St.,B12,Cleveland St.,H,"W, 77-64",113.4,99,69.5,110.8,68.9,27.3,35,57.8,92.1,43.3,28.8,50,26.7,82.6,12
1019,12/3/24,N,Oklahoma,SEC,Georgia Tech,H,"W, 76-61",113.4,100.7,64.9,117.1,48.1,10.8,25.7,57.7,94,46.2,16.9,20,34,79.8,0
1020,12/7/24,N,Oregon St.,WCC,Idaho,H,"W, 78-62",113.4,99.2,62.8,124.1,50.8,8,38.9,26.6,98.7,51,25.5,37.5,31.4,82.4,9
1021,11/12/24,N,Northern Arizona,BSky,Stanford,A,"L, 90-64",113.4,131.2,61.2,104.6,51.8,16.3,27.6,14.3,147.1,66.7,9.8,41.7,28.1,15.7,-10
1022,11/9/24,N,Pepperdine,WCC,UC San Diego,A,"L, 94-76",113.4,123.8,72.2,105.3,62,26.3,21.7,58.7,130.3,61.5,12.5,30.8,30.8,26.8,-10
1023,11/27/24,N,Marshall,SB,South Carolina St.,H,"W, 82-53",113.4,84.7,68.9,118.9,52.5,18.9,43.2,45,76.9,35.2,17.4,33.3,26.6,96.6,13
1024,12/8/24,N,Texas Tech,B12,Texas A&M,N,"L, 72-67",113.4,100.9,66.1,101.3,56.9,27.2,32.1,23.5,108.9,44,13.6,40.9,26.9,79.3,-3
1025,11/8/24,N,UC Riverside,BW,BYU,A,"L, 86-80",113.4,105.8,74.1,107.9,52.6,16.2,17.6,39.7,116,58.1,13.5,30.6,41.9,68.9,-8
1026,12/11/24,N,Louisville,ACC,UTEP,H,"W, 77-74",113.4,107.8,69.7,110.5,44.8,15.8,42.1,58.6,106.2,58.8,21.5,22.6,19.3,64.2,1
1027,11/24/24,N,Grambling St.,SWAC,USC,A,"L, 80-69",113.3,108.9,67.2,102.7,51.8,17.9,26.7,25.5,119.1,57,19.4,30.3,66,61.3,-2
1028,12/10/24,N,West Virginia,B12,North Carolina Centr,H,"W, 79-45",113.3,79.6,62.4,126.6,52.2,14.4,47.5,14.7,72.1,35.4,22.4,25.7,39.6,98.3,14
1029,11/30/24,N,Rutgers,B10,Texas A&M,N,"L, 81-77",113.3,96.4,77,100,45.6,20.8,39.5,25,105.2,44.6,16.9,30.8,75,86.6,-1
1030,12/17/24,N,Towson,CAA,Robert Morris,A,"L, 68-67",113.3,112.9,62.5,107.1,59.8,27.2,36.4,32.6,108.7,56.4,22.4,29.6,44.7,51,8
1031,11/20/24,N,Illinois,B10,Alabama,N,"L, 100-87",113.2,107,81.3,107,52.1,16,31.8,33.8,123,59.3,8.6,18.9,17.3,65.6,-11
1032,11/4/24,N,Bellarmine,ASun,VCU,A,"L, 84-65",113.2,118.2,66.6,97.6,50,24,36.4,23.2,126.1,66.4,24,40,30.9,37.6,-9
1033,11/27/24,N,Rhode Island,A10,Detroit Mercy,N,"W, 81-75",113.2,114.4,70,115.7,56.8,17.1,32.4,39,107.1,47,11.4,30.8,25.8,46.9,8
1034,11/8/24,N,Oregon,B10,Montana,H,"W, 79-48",113.2,76.6,65,121.5,52.5,12.3,36.1,38.3,73.8,37,21.5,21.6,34,98.9,15
1035,11/6/24,N,Minnesota,B10,Oral Roberts,H,"W, 80-57",113.2,92.4,65.2,122.8,68.3,13.8,19.2,32.7,87.5,40.5,23,30.8,19,91.1,13
1036,12/15/24,N,Presbyterian,BSth,Miami FL,A,"L, 94-75",113.2,129.5,64.1,117.1,53.2,4.7,23.7,19,146.7,74,14,30,42.3,17.6,-12
1037,11/9/24,N,St. John's,BE,Quinnipiac,H,"W, 96-73",113.2,105.7,79.2,121.3,52.1,15.2,35,36.6,92.2,44.6,17.7,27.3,32.3,68.9,2
1038,11/6/24,N,Seattle,WAC,Eastern Washington,A,"L, 93-86",113.2,129.7,71.9,119.6,57.6,13.9,23.5,44.1,129.3,65.3,8.3,16.7,33.9,17.3,-5
1039,12/15/24,N,Stonehill,NEC,Boston College,A,"L, 73-69",113.2,119.4,61.7,111.8,54.7,19.4,26.7,22.6,118.3,54.3,14.6,40,20.7,34.9,-4
1040,11/8/24,N,Virginia Tech,ACC,USC Upstate,H,"W, 93-74",113.2,116.9,72.2,128.8,56.5,9.7,37.5,48.4,102.5,59.1,23.5,20,23.6,40.7,2
1041,11/22/24,N,Drexel,CAA,Fordham,A,"W, 73-71",113.1,111.8,64.7,112.8,59.4,20.1,25.9,20.8,109.7,53.3,15.4,29.4,18.3,53.4,-3
1042,11/8/24,N,Georgia Southern,SB,UNC Wilmington,A,"L, 92-84",113.1,110.8,77.2,108.9,55.9,18.1,20.5,47.5,119.2,47,15.6,38.9,118,55.8,3
1043,11/13/24,N,Howard,MEAC,Tennessee St.,N,"W, 88-84",113.1,122,65.3,119.9,61.3,19.1,25.7,32.3,114.4,61.9,16.3,38.2,44.1,29.5,2
1044,12/18/24,N,Longwood,BSth,Campbell,A,"W, 77-55",113.1,91.3,65.7,117.2,51.6,18.3,42.9,29.5,83.7,40,21.3,20,60,92.1,11
1045,12/8/24,C,Marist,MAAC,Manhattan,A,"W, 82-75",113.1,113.4,67.4,121.7,60.3,19.3,38.5,20.7,111.3,51.6,17.8,36.1,27.9,49.4,3
1046,11/10/24,N,Michigan,B10,Wake Forest,N,"L, 72-70",113.1,104.4,68.6,102.1,50.9,23.3,31.2,26.3,105,51.8,19,32.4,33.9,71.5,3
